%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.D4,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
1509044730683238072,1,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044730783227826,2,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044730883191629,3,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044730983185463,4,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731083160529,5,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731183141434,6,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731283211746,7,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731383147312,8,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731483202178,9,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731583202484,10,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731683290501,11,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731783213471,12,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731883272241,13,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044731983206211,14,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732083166594,15,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732183397378,16,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732283263441,17,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732383275167,18,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732483180680,19,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732583179862,20,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732683277483,21,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732783148507,22,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732883223190,23,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044732983218578,24,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733083204280,25,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733183217982,26,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733283256569,27,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733383263528,28,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733484400501,29,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733583220170,30,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733683200576,31,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1509044733783170869,32,0,,600,800,plumb_bob,-0.050937,-0.096261,0.011851,0.008042,0.0,1352.72968,0.0,426.573376,0.0,1362.529057,366.755119,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1345.200806,0.0,429.549312,0.0,0.0,1353.838257,369.393325,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
