%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.id,field.extended,field.dlc
1509044731526319009,0,0,0,2,0,0,0,0,96,0,4
1509044731526324024,0,0,0,2,0,0,0,0,98,0,4
1509044731639079184,204,204,0,1,0,0,0,0,98,0,8
1509044731741796311,204,204,0,1,0,0,0,0,98,0,8
1509044731838862852,204,204,0,1,0,0,0,0,98,0,8
1509044731938968472,204,204,0,1,0,0,0,0,98,0,8
1509044732038936095,204,204,0,1,0,0,0,0,98,0,8
1509044732038987707,2,0,1,0,0,0,0,0,100,0,8
1509044732139066106,204,204,0,1,0,0,0,0,98,0,8
1509044732139236070,43,1,1,0,0,0,0,0,100,0,8
1509044732238931233,111,167,0,1,0,0,0,0,98,0,8
1509044732238933976,202,255,1,0,0,0,0,0,100,0,8
1509044732338941996,102,255,1,0,0,0,0,0,100,0,8
1509044732338948369,147,74,0,1,0,0,0,0,98,0,8
1509044732438948345,207,255,1,0,0,0,0,0,100,0,8
1509044732438999978,184,47,0,1,0,0,0,0,96,0,8
1509044732538981566,48,0,1,0,0,0,0,0,100,0,8
1509044732539037879,128,53,0,1,0,0,0,0,96,0,8
1509044736578304733,0,0,2,0,0,0,0,0,100,0,4
1509044736638941060,204,204,0,1,0,0,0,0,98,0,8
1509044736638950118,3,0,1,0,0,0,0,0,100,0,8
1509044736739335215,3,0,1,0,0,0,0,0,100,0,8
1509044736739346796,204,204,0,1,0,0,0,0,98,0,8
1509044736838912624,204,204,0,1,0,0,0,0,98,0,8
1509044736838935524,3,0,1,0,0,0,0,0,100,0,8
1509044736938876289,204,204,0,1,0,0,0,0,98,0,8
1509044736939006248,35,1,1,0,0,0,0,0,100,0,8
1509044737038990251,204,204,0,1,0,0,0,0,98,0,8
1509044737039089235,77,255,1,0,0,0,0,0,100,0,8
1509044737139144076,204,204,0,1,0,0,0,0,98,0,8
1509044737139159679,47,255,1,0,0,0,0,0,100,0,8
1509044737238899730,204,204,0,1,0,0,0,0,98,0,8
1509044737238946599,59,255,1,0,0,0,0,0,100,0,8
1509044737338999413,204,204,0,1,0,0,0,0,98,0,8
1509044737339002845,23,255,1,0,0,0,0,0,100,0,8
1509044737438980354,106,1,1,0,0,0,0,0,100,0,8
1509044737438982640,69,176,0,1,0,0,0,0,98,0,8
1509044737538904664,111,117,0,1,0,0,0,0,98,0,8
1509044737539037135,132,1,1,0,0,0,0,0,100,0,8
1509044737638913384,155,55,0,1,0,0,0,0,98,0,8
1509044737639258214,157,1,1,0,0,0,0,0,100,0,8
1509044737739025706,168,1,1,0,0,0,0,0,100,0,8
1509044737739030845,25,51,0,1,0,0,0,0,96,0,8
1509044737839009941,83,53,0,1,0,0,0,0,96,0,8
1509044737839014017,32,255,1,0,0,0,0,0,100,0,8
1509044737938867331,50,1,1,0,0,0,0,0,100,0,8
1509044737938916374,113,53,0,1,0,0,0,0,96,0,8
1509044738038934138,120,53,0,1,0,0,0,0,96,0,8
1509044738038998501,180,254,1,0,0,0,0,0,100,0,8
1509044738138904504,103,254,1,0,0,0,0,0,100,0,8
1509044738138907204,130,53,0,1,0,0,0,0,96,0,8
1509044738238945526,93,0,1,0,0,0,0,0,100,0,8
1509044738239016301,132,53,0,1,0,0,0,0,96,0,8
1509044738338935179,33,0,1,0,0,0,0,0,100,0,8
1509044738339046524,131,53,0,1,0,0,0,0,96,0,8
1509044738438942342,165,253,1,0,0,0,0,0,100,0,8
1509044738439039702,128,53,0,1,0,0,0,0,96,0,8
1509044738538946092,179,255,1,0,0,0,0,0,100,0,8
1509044738538952409,124,53,0,1,0,0,0,0,96,0,8
1509044738638938100,121,53,0,1,0,0,0,0,96,0,8
1509044738638942645,145,255,1,0,0,0,0,0,100,0,8
1509044738739020477,12,253,1,0,0,0,0,0,100,0,8
1509044738739022968,120,53,0,1,0,0,0,0,96,0,8
1509044738839063723,248,254,1,0,0,0,0,0,100,0,8
1509044738839066220,116,53,0,1,0,0,0,0,96,0,8
1509044738938966611,192,254,1,0,0,0,0,0,100,0,8
1509044738938998721,112,53,0,1,0,0,0,0,96,0,8
1509044739038939651,133,254,1,0,0,0,0,0,100,0,8
1509044739038944648,107,53,0,1,0,0,0,0,96,0,8
1509044739138898658,7,252,1,0,0,0,0,0,100,0,8
1509044739138907114,104,53,0,1,0,0,0,0,96,0,8
1509044739238870390,209,251,1,0,0,0,0,0,100,0,8
1509044739238915467,102,53,0,1,0,0,0,0,96,0,8
1509044739338958330,98,53,0,1,0,0,0,0,96,0,8
1509044739339025652,226,253,1,0,0,0,0,0,100,0,8
1509044739438998864,125,251,1,0,0,0,0,0,100,0,8
1509044739439000805,91,53,0,1,0,0,0,0,96,0,8
1509044739538890270,86,53,0,1,0,0,0,0,96,0,8
1509044739538896035,76,251,1,0,0,0,0,0,100,0,8
1509044739638957983,82,253,1,0,0,0,0,0,100,0,8
1509044739638963604,83,53,0,1,0,0,0,0,96,0,8
1509044739739035278,222,250,1,0,0,0,0,0,100,0,8
1509044739739040661,80,53,0,1,0,0,0,0,96,0,8
1509044739838921699,166,250,1,0,0,0,0,0,100,0,8
1509044739838929298,79,53,0,1,0,0,0,0,96,0,8
1509044739938931981,129,250,1,0,0,0,0,0,100,0,8
1509044739938964883,75,53,0,1,0,0,0,0,96,0,8
1509044740038952462,111,250,1,0,0,0,0,0,100,0,8
1509044740038984592,70,53,0,1,0,0,0,0,96,0,8
1509044740138905436,130,250,1,0,0,0,0,0,100,0,8
1509044740138907836,65,53,0,1,0,0,0,0,96,0,8
1509044740238955380,1,53,0,1,0,0,0,0,96,0,8
1509044740238959308,152,250,1,0,0,0,0,0,100,0,8
1509044740338942133,97,250,1,0,0,0,0,0,100,0,8
1509044740339001877,122,52,0,1,0,0,0,0,96,0,8
1509044740438929195,68,250,1,0,0,0,0,0,100,0,8
1509044740438932664,252,51,0,1,0,0,0,0,96,0,8
1509044740538898108,34,250,1,0,0,0,0,0,100,0,8
1509044740538980746,126,51,0,1,0,0,0,0,96,0,8
1509044740639035713,17,51,0,1,0,0,0,0,96,0,8
1509044740639038354,0,250,1,0,0,0,0,0,100,0,8
1509044740738848018,238,249,1,0,0,0,0,0,100,0,8
1509044740738964578,130,50,0,1,0,0,0,0,96,0,8
1509044740839024934,12,50,0,1,0,0,0,0,96,0,8
1509044740839030318,230,249,1,0,0,0,0,0,100,0,8
1509044740939530958,212,249,1,0,0,0,0,0,100,0,8
1509044740939542287,126,49,0,1,0,0,0,0,96,0,8
1509044741038908516,208,249,1,0,0,0,0,0,100,0,8
1509044741038917113,247,48,0,1,0,0,0,0,96,0,8
1509044741138912076,207,249,1,0,0,0,0,0,100,0,8
1509044741138938622,180,48,0,1,0,0,0,0,96,0,8
1509044741238895243,71,48,0,1,0,0,0,0,96,0,8
1509044741238901304,224,249,1,0,0,0,0,0,100,0,8
1509044741338995670,238,249,1,0,0,0,0,0,100,0,8
1509044741339001177,3,48,0,1,0,0,0,0,96,0,8
1509044741439024300,18,250,1,0,0,0,0,0,100,0,8
1509044741439055990,133,47,0,1,0,0,0,0,96,0,8
1509044741538966366,41,250,1,0,0,0,0,0,100,0,8
1509044741539062519,29,45,0,1,0,0,0,0,96,0,8
1509044741639041975,15,250,1,0,0,0,0,0,100,0,8
1509044741738860286,100,48,0,1,0,0,0,0,98,0,8
1509044741738940941,34,250,1,0,0,0,0,0,100,0,8
1509044741739095420,102,38,0,1,0,0,0,0,96,0,8
1509044741838932702,141,52,0,1,0,0,0,0,98,0,8
1509044741838935211,39,250,1,0,0,0,0,0,100,0,8
1509044741938955987,69,56,0,1,0,0,0,0,98,0,8
1509044741938958825,35,250,1,0,0,0,0,0,100,0,8
1509044742039028539,82,56,0,1,0,0,0,0,98,0,8
1509044742039049447,33,250,1,0,0,0,0,0,100,0,8
1509044742138880900,139,54,0,1,0,0,0,0,98,0,8
1509044742139058124,17,250,1,0,0,0,0,0,100,0,8
1509044742240448206,133,44,0,1,0,0,0,0,98,0,8
1509044742241218917,246,249,1,0,0,0,0,0,100,0,8
1509044742338889281,62,42,0,1,0,0,0,0,98,0,8
1509044742338896042,201,249,1,0,0,0,0,0,100,0,8
1509044742438933538,158,249,1,0,0,0,0,0,100,0,8
1509044742538947317,134,249,1,0,0,0,0,0,100,0,8
1509044742538992985,193,45,0,1,0,0,0,0,96,0,8
1509044751926683236,0,0,2,0,0,0,0,0,100,0,4
1509044751938885223,204,204,0,1,0,0,0,0,98,0,8
