%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1509044729558885744,138709,1509044729558327733,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729578937881,138710,1509044729578324698,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729601220054,138711,1509044729598329641,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729619073531,138712,1509044729618330735,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729639567434,138713,1509044729638752963,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729659357868,138714,1509044729658753457,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729679068159,138715,1509044729678761180,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729699019514,138716,1509044729698758298,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729721516185,138717,1509044729718766309,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729739239624,138718,1509044729738770251,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729759054301,138719,1509044729758768441,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729779330447,138720,1509044729778772661,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729799262771,138721,1509044729798773318,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729819255715,138722,1509044729818788897,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729839206558,138723,1509044729838784111,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729859254307,138724,1509044729858787117,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729879905248,138725,1509044729878792422,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729902549728,138726,1509044729899374432,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729920126936,138727,1509044729919383132,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729939948517,138728,1509044729939383691,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729959980449,138729,1509044729959565285,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729979883825,138730,1509044729979389798,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730001411281,138731,1509044729999388609,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
