%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1509044729652246630,26459,1509044729638654000,,0.0620970824005,0.0,0.0
1509044729755696280,26460,1509044729743472000,,0.152528395037,0.0,0.0
1509044729862263668,26461,1509044729848319000,,0.0843774150996,0.0,0.0
1509044729970528957,26462,1509044729953159000,,0.11976658958,0.0,0.0
1509044730070461263,26463,1509044730057999000,,0.0961193732675,0.0,0.0
1509044730173935899,26464,1509044730162840000,,0.13118348742,0.0,0.0
1509044730276207101,26465,1509044730267688000,,0.138907127498,0.0,0.0
1509044730382162802,26466,1509044730372557000,,0.162845405477,0.0,0.0
1509044730489113040,26467,1509044730477382000,,0.280730398963,0.0,0.0
1509044730591184893,26468,1509044730582203000,,0.285897400028,0.0,0.0
1509044730698501142,26469,1509044730687074000,,0.231870509314,0.0,0.0
1509044730802586675,26470,1509044730791909000,,0.092190324495,0.0,0.0
1509044730905165152,26471,1509044730896759000,,0.176242887515,0.0,0.0
1509044731009802898,26472,1509044731001571000,,0.205652410167,0.0,0.0
1509044731115611285,26473,1509044731106412000,,0.0992587616813,0.0,0.0
1509044731219375576,26474,1509044731211265000,,0.0989847034311,0.0,0.0
1509044731327714093,26475,1509044731316114000,,0.106829780624,0.0,0.0
1509044731428594321,26476,1509044731420946000,,0.138466124319,0.0,0.0
1509044731534094524,26477,1509044731525794000,,0.0972442215766,0.0,0.0
1509044731643478700,26478,1509044731630670000,,0.102646019629,0.0,0.0
1509044731745767170,26479,1509044731735482000,,0.270201513434,0.0,0.0
1509044731852100032,26480,1509044731840331000,,0.27379314136,0.0,0.0
1509044731955397770,26481,1509044731945162000,,0.272214926337,0.0,0.0
1509044732061008870,26482,1509044732049995000,,0.451969464239,0.0,0.0
1509044732167015407,26483,1509044732154865000,,0.770100297887,0.0,0.0
1509044732269316687,26484,1509044732259675000,,1.24986020324,0.0,0.0
1509044732372517193,26485,1509044732364531000,,1.40150268946,0.0,0.0
1509044732479690363,26486,1509044732469391000,,1.88871300898,0.0,0.0
1509044732584270134,26487,1509044732574218000,,2.12698311785,0.0,0.0
1509044732687113438,26488,1509044732679044000,,2.19519072821,0.0,0.0
1509044732793682211,26489,1509044732783886000,,2.66786441136,0.0,0.0
1509044732898483427,26490,1509044732888782000,,2.98296717876,0.0,0.0
1509044733006261056,26491,1509044732993586000,,3.31081520593,0.0,0.0
1509044733106882040,26492,1509044733098423000,,3.32110489207,0.0,0.0
1509044733211517103,26493,1509044733203259000,,3.20900344129,0.0,0.0
1509044733317231421,26494,1509044733308112000,,3.04992972755,0.0,0.0
1509044733426822793,26495,1509044733413188000,,3.09192229661,0.0,0.0
1509044733530965134,26496,1509044733517795000,,3.49480280656,0.0,0.0
1509044733633047768,26497,1509044733622620000,,2.86136897209,0.0,0.0
1509044733738463407,26498,1509044733727464000,,3.16434348781,0.0,0.0
1509044733840459440,26499,1509044733832314000,,3.23775119073,0.0,0.0
