%time,field.header.seq,field.header.stamp,field.header.frame_id,field.exe_time,field.iteration,field.score,field.velocity,field.acceleration,field.use_predict_pose
1509044729651758596,26459,1509044729638654000,,8.63300037384,2,1.0,0.0620970837772,-0.78003847599,0
1509044729755664978,26460,1509044729743472000,,7.64499998093,2,1.0,0.152528390288,0.86274600029,0
1509044729862167558,26461,1509044729848319000,,8.15400028229,2,1.0,0.0843774154782,-0.650004088879,0
1509044729970602883,26462,1509044729953159000,,10.5860004425,2,1.0,0.119766592979,0.337554126978,0
1509044730070481486,26463,1509044730057999000,,7.42600011826,2,1.0,0.0961193740368,-0.225555285811,0
1509044730173991672,26464,1509044730162840000,,6.86000013351,2,1.0,0.131183490157,0.334450393915,0
1509044730276145416,26465,1509044730267688000,,4.6779999733,2,1.0,0.138907134533,0.073665112257,0
1509044730382047848,26466,1509044730372557000,,5.08599996567,2,1.0,0.162845402956,0.228268384933,0
1509044730489052291,26467,1509044730477382000,,6.82499980927,3,1.0,0.280730396509,1.12458848953,0
1509044730591151743,26468,1509044730582203000,,5.36499977112,3,1.0,0.285897403955,0.0492935664952,0
1509044730698452949,26469,1509044730687074000,,7.30399990082,3,1.0,0.231870502234,-0.515174746513,0
1509044730802559337,26470,1509044730791909000,,5.4279999733,2,1.0,0.0921903252602,-1.33238124847,0
1509044730905081988,26471,1509044730896759000,,4.492000103,2,1.0,0.176242887974,0.801645815372,0
1509044731009716277,26472,1509044731001571000,,4.38700008392,2,1.0,0.205652415752,0.28059309721,0
1509044731115561339,26473,1509044731106412000,,4.75299978256,2,1.0,0.0992587581277,-1.01480960846,0
1509044731219314292,26474,1509044731211265000,,4.24300003052,2,1.0,0.0989847034216,-0.00261373771355,0
1509044731327570296,26475,1509044731316114000,,7.54199981689,2,1.0,0.10682977736,0.0748226195574,0
1509044731428548777,26476,1509044731420946000,,4.22800016403,2,1.0,0.138466119766,0.301781356335,0
1509044731533958613,26477,1509044731525794000,,4.39300012589,2,1.0,0.0972442179918,-0.393158704042,0
1509044731643390092,26478,1509044731630670000,,8.4139995575,2,1.0,0.102646023035,0.0515065230429,0
1509044731745745276,26479,1509044731735482000,,6.57899999619,2,1.0,0.27020150423,1.59862887859,0
1509044731852035943,26480,1509044731840331000,,6.90000009537,2,1.0,0.273793131113,0.0342552438378,0
1509044731955342131,26481,1509044731945162000,,6.63999986649,2,1.0,0.272214919329,-0.0150548508391,0
1509044732060947343,26482,1509044732049995000,,7.03700017929,2,1.0,0.451969474554,1.71467518806,0
1509044732166909220,26483,1509044732154865000,,6.39599990845,2,1.0,0.770100295544,3.03357338905,0
1509044732269248092,26484,1509044732259675000,,6.01200008392,3,1.0,1.2498601675,4.57742500305,0
1509044732372431151,26485,1509044732364531000,,4.40899991989,2,1.0,1.40150272846,1.44619750977,0
1509044732479563785,26486,1509044732469391000,,6.52199983597,3,1.0,1.8887130022,4.6462931633,0
1509044732584148165,26487,1509044732574218000,,5.27899980545,2,1.0,2.12698316574,2.27298402786,0
1509044732687061148,26488,1509044732679044000,,4.47200012207,2,1.0,2.19519066811,0.650674521923,0
1509044732793630797,26489,1509044732783886000,,5.82499980927,3,1.0,2.66786432266,4.50843811035,0
1509044732898417191,26490,1509044732888782000,,6.01999998093,3,1.0,2.98296713829,3.00395417213,0
1509044733006190633,26491,1509044732993586000,,9.00100040436,3,1.0,3.3108150959,3.12820148468,0
1509044733106814876,26492,1509044733098423000,,4.77899980545,2,1.0,3.32110500336,0.0981493741274,0
1509044733211463534,26493,1509044733203259000,,4.59499979019,2,1.0,3.20900344849,-1.06930303574,0
1509044733317109832,26494,1509044733308112000,,4.76800012589,2,1.0,3.04992961884,-1.51711165905,0
1509044733426782063,26495,1509044733413188000,,7.76200008392,2,1.0,3.09192228317,0.399639964104,0
1509044733530920685,26496,1509044733517795000,,9.25500011444,3,1.0,3.49480271339,3.85137248039,0
1509044733632345492,26497,1509044733622620000,,6.04099988937,3,1.0,2.86136889458,-6.04277467728,0
1509044733738373138,26498,1509044733727464000,,6.63999986649,2,1.0,3.1643435955,2.88976502419,0
1509044733840398188,26499,1509044733832314000,,4.67899990082,2,1.0,3.2377512455,0.700121164322,0
1509044733948338181,26500,1509044733937179000,,7.16699981689,3,1.0,3.44425463676,1.96923053265,0
1509044734055476107,26501,1509044734042003000,,9.1829996109,3,1.0,3.53423285484,0.858375072479,0
1509044734156097531,26502,1509044734146832000,,5.8860001564,3,1.0,3.17435455322,-3.43300223351,0
1509044734262504269,26503,1509044734251678000,,6.71299982071,3,1.0,2.81078720093,-3.46763277054,0
1509044734366422865,26504,1509044734356518000,,6.31599998474,3,1.0,3.28393507004,4.51304578781,0
1509044734469881207,26505,1509044734461362000,,4.57600021362,2,1.0,3.0686237812,-2.05363321304,0
1509044734575688397,26506,1509044734566206000,,5.20900011063,2,1.0,2.89460754395,-1.65976452827,0
1509044734682225377,26507,1509044734671041000,,7.32100009918,2,1.0,2.77745103836,-1.11753308773,0
1509044734788841645,26508,1509044734775987000,,7.82700014114,2,1.0,2.70802688599,-0.66152125597,0
1509044734891779548,26509,1509044734880742000,,6.76300001144,3,1.0,2.27664351463,-4.1180229187,0
1509044734998771257,26510,1509044734985601000,,8.11400032043,2,1.0,2.37216591835,0.910962164402,0
1509044735100381454,26511,1509044735090429000,,5.78700017929,2,1.0,2.5388007164,1.58960187435,0
1509044735209414611,26512,1509044735195270000,,8.94999980927,3,1.0,2.45096421242,-0.837807178497,0
1509044735316206025,26513,1509044735300122000,,10.7939996719,3,1.0,1.85366618633,-5.69658279419,0
1509044735414974953,26514,1509044735404971000,,5.89099979401,2,1.0,1.8397539854,-0.132687658072,0
1509044735522663954,26515,1509044735510161000,,7.06500005722,3,1.0,1.32264244556,-4.91597604752,0
1509044735623396162,26516,1509044735614649000,,5.12099981308,2,1.0,1.17259764671,-1.43599975109,0
1509044735728172155,26517,1509044735719487000,,4.91900014877,2,1.0,1.10429286957,-0.651527583599,0
1509044735834264529,26518,1509044735824319000,,6.40799999237,2,1.0,0.942374408245,-1.54455149174,0
1509044735943311781,26519,1509044735929163000,,10.123000145,3,1.0,0.601707577705,-3.24927401543,0
1509044736043283528,26520,1509044736034019000,,5.7389998436,2,1.0,0.671435177326,0.664984822273,0
1509044736148072290,26521,1509044736138837000,,5.54199981689,2,1.0,0.628351688385,-0.411031901836,0
1509044736254195012,26522,1509044736244093000,,6.14200019836,2,1.0,0.529992520809,-0.934475123882,0
1509044736357197153,26523,1509044736348546000,,4.98600006104,2,1.0,0.290145933628,-2.29621577263,0
