%time,field.header.seq,field.header.stamp,field.header.frame_id,field.level,field.name,field.msg,field.file,field.function,field.line,field.topics0
1509044729415001268,34,1509044729358768867,,2,/record_1509044729293450473,Subscribing to /rosout,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415010229,35,1509044729374087719,,2,/record_1509044729293450473,Subscribing to /rosout_agg,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415021379,36,1509044729376207492,,2,/record_1509044729293450473,Subscribing to /sound_play/feedback,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415026658,37,1509044729378166420,,2,/record_1509044729293450473,Subscribing to /cloud_nodelet/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415029718,38,1509044729379988942,,2,/record_1509044729293450473,Subscribing to /points_map,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415033629,39,1509044729381705565,,2,/record_1509044729293450473,Subscribing to /vehicle/steering_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415037844,40,1509044729383385327,,2,/record_1509044729293450473,Subscribing to /vehicle/brake_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415040150,41,1509044729385301161,,2,/record_1509044729293450473,Subscribing to /estimated_vel,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415043419,42,1509044729387288103,,2,/record_1509044729293450473,Subscribing to /move_base_simple/goal,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415045892,43,1509044729389107026,,2,/record_1509044729293450473,Subscribing to /vehicle/gps/vel,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415050243,44,1509044729390929426,,2,/record_1509044729293450473,Subscribing to /velodyne_packets,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415052733,45,1509044729392639960,,2,/record_1509044729293450473,Subscribing to /vehicle/surround_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415056892,46,1509044729394535330,,2,/record_1509044729293450473,Subscribing to /ndt_pose,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415059134,47,1509044729396282915,,2,/record_1509044729293450473,Subscribing to /localizer_pose,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415061302,48,1509044729398035465,,2,/record_1509044729293450473,Subscribing to /vehicle/imu/data_raw,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415064127,49,1509044729399948773,,2,/record_1509044729293450473,Subscribing to /vehicle/gear_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415067538,50,1509044729401743640,,2,/record_1509044729293450473,Subscribing to /sound_play/result,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415069882,51,1509044729403496806,,2,/record_1509044729293450473,Subscribing to /initialpose,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415073073,52,1509044729405162247,,2,/record_1509044729293450473,Subscribing to /vehicle/wheel_speed_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415075432,53,1509044729407469492,,2,/record_1509044729293450473,Subscribing to /points_raw,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415080674,54,1509044729409441762,,2,/record_1509044729293450473,Subscribing to /vehicle/throttle_info_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415083510,55,1509044729411524445,,2,/record_1509044729293450473,Subscribing to /vehicle/misc_1_report,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729415087080,56,1509044729413230556,,2,/record_1509044729293450473,Subscribing to /filtered_points,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044729602907713,2,1509041959891568464,,2,/rviz_1509041945005343460,Setting pose: -2.566 16.513 0.101 [frame=world],/tmp/binarydeb/ros-indigo-rviz-1.11.17/src/rviz/default_plugin/tools/initial_pose_tool.cpp,InitialPoseTool::onPoseSet,79,/rosout,/initialpose,/move_base_simple/goal,/clicked_point
1509044729602982689,7,1509041945403538993,,2,/can_node,Dataspeed USB CAN Tool: Ch4 0kbps,/tmp/tmp.rMak6mhtNq/src/dataspeed_can/dataspeed_can_usb/src/CanDriver.cpp,CanDriver::serviceDevice,186,/rosout
1509044729603043899,118,1509044682777828738,,4,/vehicle/dbw_node,DBW system disabled. Driver override on brake/throttle pedal.,/tmp/tmp.rMak6mhtNq/src/dbw_mkz_ros/dbw_mkz_can/src/DbwNode.cpp,DbwNode::overrideThrottle,1156,/rosout,/can_bus_dbw/can_tx,/vehicle/brake_report,/vehicle/throttle_report,/vehicle/steering_report,/vehicle/gear_report,/vehicle/misc_1_report,/vehicle/wheel_speed_report,/vehicle/wheel_position_report,/vehicle/tire_pressure_report,/vehicle/fuel_level_report,/vehicle/surround_report,/vehicle/sonar_cloud,/vehicle/brake_info_report,/vehicle/throttle_info_report,/vehicle/imu/data_raw,/vehicle/gps/fix,/vehicle/gps/vel,/vehicle/gps/time,/vehicle/joint_states,/vehicle/twist,/vehicle/vin,/vehicle/dbw_enabled
1509044729603092015,23,1509041945947438955,,2,/soundplay_node,sound_play node is ready to play sound,soundplay_node.py,init_vars,426,/sound_play/result,/sound_play/goal,/sound_play/cancel,/rosout,/robotsound,/sound_play/status,/sound_play/feedback,/diagnostics
1509044729603199841,2,1509041950441250480,,2,/driver_nodelet,waitForService: Service [/velodyne_nodelet_manager/load_nodelet] is now available.,/tmp/binarydeb/ros-indigo-roscpp-1.11.21/src/libros/service.cpp,service::waitForService,122,/rosout
1509044729603251271,3,1509041950428174863,,2,/cloud_nodelet,waitForService: Service [/velodyne_nodelet_manager/load_nodelet] is now available.,/tmp/binarydeb/ros-indigo-roscpp-1.11.21/src/libros/service.cpp,service::waitForService,122,/rosout
1509044729603735684,0,1509041950413258969,,2,/vel_pose_mux,vehicle_info is not set,/home/udacity/Autoware/ros/src/computing/perception/localization/packages/vel_pose_mux/nodes/vel_pose_mux.cpp,main,152,/rosout
1509044729603791782,23,1509041950483889573,,2,/velodyne_nodelet_manager,Opening UDP socket: port 2368,/home/udacity/Autoware/ros/src/sensing/drivers/lidar/packages/velodyne/velodyne_driver/src/lib/input.cc,InputSocket::InputSocket,52,/rosout,/points_raw,/cloud_nodelet/parameter_descriptions,/cloud_nodelet/parameter_updates,/velodyne_nodelet_manager/bond,/diagnostics
1509044729603842904,1,1509041951038390419,,2,/grasshopper,Publishing.. image_raw,/home/udacity/Autoware/ros/src/sensing/drivers/camera/packages/pointgrey/nodes/grasshopper3/grasshopper3.cpp,main,255,/rosout,/image_raw
1509044729883413141,25,1509044729863865963,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729897587104,26,1509044729897204422,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729934277359,27,1509044729933980694,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729964050727,28,1509044729963907105,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044729997808464,29,1509044729997209536,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730030963648,30,1509044730030864404,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730067327899,31,1509044730063890541,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730097298956,32,1509044730097196189,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730130702260,33,1509044730130567432,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730163974271,34,1509044730163855265,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730197381232,35,1509044730197207175,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730231312076,36,1509044730230527884,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730263949871,37,1509044730263854020,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730297282034,38,1509044730297188757,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730330611194,39,1509044730330519273,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730339477385,2,1509044730121243000,,1,/waypoint_loader,node[/waypoint_loader, http://udacity:34914/] entering spin(), pid[1846],client.py,spin,126,/rosout,/base_waypoints
1509044730363961176,40,1509044730363849929,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730397271538,41,1509044730397183414,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730416882325,57,1509044730416718725,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressed/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730418761552,58,1509044730418699617,,2,/record_1509044729293450473,Subscribing to /image_rect/theora,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730420823565,59,1509044730420762404,,2,/record_1509044729293450473,Subscribing to /image_rect_color/compressedDepth/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730422797146,60,1509044730422746881,,2,/record_1509044729293450473,Subscribing to /image_rect/compressed/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730424638604,61,1509044730424595919,,2,/record_1509044729293450473,Subscribing to /image_rect/theora/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730426643069,62,1509044730426600130,,2,/record_1509044729293450473,Subscribing to /twist_cmd,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730428481375,63,1509044730428438888,,2,/record_1509044729293450473,Subscribing to /image_rect/compressed/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730430350241,64,1509044730430279582,,2,/record_1509044729293450473,Subscribing to /image_rect_color/theora/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730430573916,42,1509044730430515840,,4,/pure_pursuit,waypoint is missing,/home/udacity/Git/carnd_cap_autogradr/submissions/810991/ros/src/waypoint_follower/src/pure_pursuit_core.cpp,TwistStamped waypoint_follower::PurePursuit::go,355,/rosout,/twist_cmd
1509044730432776588,65,1509044730432733766,,2,/record_1509044729293450473,Subscribing to /image_rect/compressedDepth/parameter_descriptions,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730434841392,66,1509044730434774148,,2,/record_1509044729293450473,Subscribing to /vehicle/throttle_cmd,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730436748916,67,1509044730436675431,,2,/record_1509044729293450473,Subscribing to /image_color,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
1509044730438688745,68,1509044730438587740,,2,/record_1509044729293450473,Subscribing to /image_color/theora/parameter_updates,/tmp/binarydeb/ros-indigo-rosbag-1.11.21/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,211,/rosout
