%time,field.header.seq,field.header.stamp,field.header.frame_id
1509044729558813758,4785,1509044729446968078,
1509044729649956882,4786,1509044729649796009,
1509044729847169438,4787,1509044729846970081,
1509044730047097738,4788,1509044730046973943,
1509044730247154865,4789,1509044730246989965,
1509044730447380337,4790,1509044730446964025,
1509044730647120689,4791,1509044730646991968,
1509044730847138680,4792,1509044730846967935,
1509044731047075273,4793,1509044731046964883,
1509044731247151752,4794,1509044731246984004,
1509044731447129563,4795,1509044731446975946,
1509044731646944199,4796,1509044731646821975,
1509044731847088531,4797,1509044731846954107,
1509044732047115602,4798,1509044732046962022,
1509044732247092719,4799,1509044732246963024,
1509044732447086732,4800,1509044732446969985,
1509044732647139926,4801,1509044732646977901,
1509044732847170164,4802,1509044732846971988,
1509044733046991002,4803,1509044733046822071,
1509044733247089351,4804,1509044733246972084,
1509044733447517994,4805,1509044733446964979,
1509044733647044614,4806,1509044733646944046,
1509044733847052382,4807,1509044733846960067,
1509044734047086771,4808,1509044734046966075,
1509044734247075899,4809,1509044734246967077,
1509044734447079951,4810,1509044734446952104,
1509044734647054426,4811,1509044734646948099,
1509044734849874071,4812,1509044734846966028,
1509044735047010486,4813,1509044735046816110,
1509044735247284809,4814,1509044735247035026,
1509044735447175577,4815,1509044735446965932,
1509044735647167797,4816,1509044735646960020,
1509044735847177973,4817,1509044735846960067,
1509044736047107966,4818,1509044736046984910,
1509044736247101408,4819,1509044736246965885,
1509044736447014425,4820,1509044736446912050,
1509044736647135282,4821,1509044736646966934,
1509044736847066314,4822,1509044736846946001,
1509044737047131470,4823,1509044737046962022,
1509044737247434217,4824,1509044737246989965,
1509044737447114623,4825,1509044737446969985,
1509044737647075134,4826,1509044737646960020,
1509044737847120773,4827,1509044737846957921,
1509044738047081822,4828,1509044738046976089,
1509044738246942939,4829,1509044738246812105,
1509044738447480883,4830,1509044738446976900,
1509044738647254947,4831,1509044738646996974,
1509044738847145597,4832,1509044738846976995,
1509044739047531574,4833,1509044739046992063,
1509044739247126266,4834,1509044739246975898,
1509044739447124863,4835,1509044739446995973,
1509044739647078716,4836,1509044739646966934,
1509044739847160563,4837,1509044739847001075,
1509044740047569880,4838,1509044740046983957,
1509044740247099077,4839,1509044740246958017,
1509044740447783280,4840,1509044740446955919,
