%time,field.data
1509044736876683889,-1
1509044736929992453,-1
1509044736984153552,47
1509044737036779124,47
1509044737087198449,47
1509044737138829967,47
1509044737188289332,47
1509044737246618964,47
1509044737295983392,47
1509044737346966776,47
1509044737397394914,47
1509044737450296122,47
1509044737500013929,47
1509044737549338692,47
1509044737598953625,47
1509044737650769121,47
1509044737701011100,47
1509044737750241998,47
1509044737799679860,47
1509044737849611813,47
1509044737901616706,47
1509044737951774871,47
1509044738004366491,47
1509044738055076539,47
1509044738105446241,47
1509044738160626962,47
1509044738211042174,47
1509044738261279582,47
1509044738309617311,47
1509044738366393812,47
1509044738428543751,47
1509044738496288209,47
1509044738563261638,47
1509044738630569565,47
1509044738696160745,47
1509044738762591002,47
1509044738830003724,47
1509044738895927083,47
1509044738961155740,47
1509044739028148168,47
1509044739094402858,47
1509044739161589064,47
1509044739227155613,47
1509044739361236869,47
1509044739559766477,47
1509044739629063147,47
1509044739694561014,-1
1509044739761318475,-1
1509044739827679273,-1
1509044739892649179,-1
1509044739960323754,-1
1509044740028118098,-1
1509044740094393373,-1
1509044740161796316,-1
1509044740227810248,-1
1509044740294416852,-1
1509044740361225813,-1
1509044740426915652,-1
1509044740494569917,-1
1509044740561980428,-1
1509044740632594677,-1
1509044740695679899,-1
1509044740765139229,-1
1509044740828760571,-1
1509044740898370275,-1
1509044740976314307,-1
1509044741029140667,-1
1509044741095010522,-1
1509044741161945103,-1
1509044741229403788,-1
1509044741295442284,-1
1509044741361646252,-1
1509044741428124938,-1
1509044741496168068,-1
1509044741562192009,-1
1509044741630968792,-1
1509044741695298143,-1
1509044741762228022,-1
1509044741830342537,-1
1509044741895768223,-1
1509044741962643272,-1
1509044742030013925,-1
1509044742096263138,-1
1509044742162663129,-1
1509044742278264486,-1
1509044742346444801,-1
1509044742395206274,-1
1509044742450361050,-1
1509044742499486651,-1
1509044742559388398,-1
1509044742629697102,-1
1509044742696559877,-1
1509044742761825379,-1
1509044742828063538,-1
1509044742895471345,-1
1509044742961256897,-1
1509044743028911313,-1
1509044743094343665,-1
1509044743160347976,-1
1509044743227366642,-1
