%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1509044730563961857,30,1509044730563848558,,0.0,0.0,0.0,0.0,0.0,0.0
1509044730597358456,31,1509044730597268468,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730630632554,32,1509044730630530657,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730665336958,33,1509044730663888464,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730697351710,34,1509044730697226879,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730730740654,35,1509044730730586164,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730764018607,36,1509044730763886711,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730797511548,37,1509044730797265834,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730830629675,38,1509044730830559550,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730863946206,39,1509044730863871463,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730897359194,40,1509044730897219494,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730930731035,41,1509044730930547245,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730963973224,42,1509044730963870422,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044730997297893,43,1509044730997210720,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731030679866,44,1509044731030557241,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731063971151,45,1509044731063873392,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731097338275,46,1509044731097208966,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731130659387,47,1509044731130555202,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731163942611,48,1509044731163868082,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731197304855,49,1509044731197215420,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731230749869,50,1509044731230565691,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731264003816,51,1509044731263884383,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731297329683,52,1509044731297207241,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731330667086,53,1509044731330582082,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731363985688,54,1509044731363889625,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731397402505,55,1509044731397228967,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731430606327,56,1509044731430536112,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731463970259,57,1509044731463866477,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731497374903,58,1509044731497230295,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731530923150,59,1509044731530542681,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731563995730,60,1509044731563885323,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731597306769,61,1509044731597204930,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731630744001,62,1509044731630550129,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731664087022,63,1509044731663919703,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731697411091,64,1509044731697248391,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731730694537,65,1509044731730571184,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731763999396,66,1509044731763878199,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731797307701,67,1509044731797215535,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731830675516,68,1509044731830538680,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731863989256,69,1509044731863878723,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731897299615,70,1509044731897231336,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731930656828,71,1509044731930537211,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731963977455,72,1509044731963877465,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044731997394789,73,1509044731997217590,,2.7778,0.0,0.0,0.0,0.0,0.0
1509044732030682677,74,1509044732030560592,,2.7778,0.0,0.0,0.0,0.0,0.0103576895822
1509044732063953992,75,1509044732063872799,,2.7778,0.0,0.0,0.0,0.0,0.0140619889553
1509044732097366394,76,1509044732097218357,,2.7778,0.0,0.0,0.0,0.0,0.0163270071067
1509044732130776713,77,1509044732130576069,,2.7778,0.0,0.0,0.0,0.0,0.0226501835386
1509044732164085411,78,1509044732163898052,,2.7778,0.0,0.0,0.0,0.0,0.0340696513174
1509044732197413333,79,1509044732197227944,,2.7778,0.0,0.0,0.0,0.0,0.039736174135
1509044732230655445,80,1509044732230532020,,2.7778,0.0,0.0,0.0,0.0,0.0494791768525
1509044732265877041,81,1509044732263882307,,2.7778,0.0,0.0,0.0,0.0,0.0594132173118
1509044732297443368,82,1509044732297209749,,2.7778,0.0,0.0,0.0,0.0,0.066709594858
1509044732330741737,83,1509044732330547411,,2.7778,0.0,0.0,0.0,0.0,0.0721261846736
1509044732364044808,84,1509044732363867887,,2.7778,0.0,0.0,0.0,0.0,0.0847648942431
1509044732397396006,85,1509044732397210777,,2.7778,0.0,0.0,0.0,0.0,0.085762454153
1509044732430625848,86,1509044732430532748,,2.7778,0.0,0.0,0.0,0.0,0.0956437762004
1509044732463953114,87,1509044732463866340,,2.7778,0.0,0.0,0.0,0.0,0.102273695562
1509044732497293005,88,1509044732497207787,,2.7778,0.0,0.0,0.0,0.0,0.0999477260892
1509044732530649308,89,1509044732530534738,,2.7778,0.0,0.0,0.0,0.0,0.0963000264342
1509044732564012165,90,1509044732563880628,,2.7778,0.0,0.0,0.0,0.0,0.095566639863
1509044732597334523,91,1509044732597209391,,2.7778,0.0,0.0,0.0,0.0,0.0957842518623
1509044732630705382,92,1509044732630560786,,2.7778,0.0,0.0,0.0,0.0,0.0948010424728
1509044732663974574,93,1509044732663877371,,2.7778,0.0,0.0,0.0,0.0,0.0944362366356
1509044732697298111,94,1509044732697214077,,2.7778,0.0,0.0,0.0,0.0,0.0943880277726
1509044732730685927,95,1509044732730551190,,2.7778,0.0,0.0,0.0,0.0,0.0963256414975
1509044732764116606,96,1509044732763896544,,2.7778,0.0,0.0,0.0,0.0,0.0972943581691
1509044732797352846,97,1509044732797221197,,2.7778,0.0,0.0,0.0,0.0,0.108765088619
1509044732830742314,98,1509044732830534598,,2.7778,0.0,0.0,0.0,0.0,0.112839757679
1509044732864020434,99,1509044732863885566,,2.7778,0.0,0.0,0.0,0.0,0.11331363718
