%time,field.pedal_cmd,field.pedal_cmd_type,field.boo_cmd,field.enable,field.clear,field.ignore,field.count
1509044732438976784,14.4399805069,3,0,1,0,0,0
1509044732538892506,243.884429932,3,0,1,0,0,0
1509044737739048621,71.6622009277,3,0,1,0,0,0
1509044737839036787,149.995529175,3,0,1,0,0,0
1509044737938912402,212.773345947,3,0,1,0,0,0
1509044738038950929,228.328918457,3,0,1,0,0,0
1509044738138985402,248.884414673,3,0,1,0,0,0
1509044738238924701,252.773300171,3,0,1,0,0,0
1509044738339021634,251.106658936,3,0,1,0,0,0
1509044738438959209,244.440002441,3,0,1,0,0,0
1509044738538988609,235.551086426,3,0,1,0,0,0
1509044738638957205,228.884429932,3,0,1,0,0,0
1509044738739129143,228.328918457,3,0,1,0,0,0
1509044738839004833,218.328872681,3,0,1,0,0,0
1509044738938878276,210.551086426,3,0,1,0,0,0
1509044739038996331,199.4400177,3,0,1,0,0,0
1509044739138894092,193.328872681,3,0,1,0,0,0
1509044739238911959,190.551101685,3,0,1,0,0,0
1509044739338962245,181.662246704,3,0,1,0,0,0
1509044739438994523,167.77331543,3,0,1,0,0,0
1509044739538855082,155.551116943,3,0,1,0,0,0
1509044739638989920,150.551101685,3,0,1,0,0,0
1509044739738974117,144.995559692,3,0,1,0,0,0
1509044739838933386,142.77331543,3,0,1,0,0,0
1509044739938956997,132.77331543,3,0,1,0,0,0
1509044740038959417,122.217765808,3,0,1,0,0,0
1509044740138899698,113.328903198,3,0,1,0,0,0
1509044740238890483,103.884429932,3,0,1,0,0,0
1509044740339021397,94.9955596924,3,0,1,0,0,0
1509044740438930476,86.6622161865,3,0,1,0,0,0
1509044740538916596,78.3289108276,3,0,1,0,0,0
1509044740638910518,71.1066894531,3,0,1,0,0,0
1509044740738941757,61.6622123718,3,0,1,0,0,0
1509044740838890117,53.8844261169,3,0,1,0,0,0
1509044740939439828,44.4399986267,3,0,1,0,0,0
1509044741038877824,35.5510864258,3,0,1,0,0,0
1509044741138972448,31.1066799164,3,0,1,0,0,0
1509044741238953170,23.8844566345,3,0,1,0,0,0
1509044741339014719,19.4400005341,3,0,1,0,0,0
1509044741439061350,11.1066503525,3,0,1,0,0,0
1509044741538978583,0.551097333431,3,0,1,0,0,0
1509044741739030726,0.0,3,0,1,0,0,0
1509044742538919606,1.66222333908,3,0,1,0,0,0
1509044753038937411,9.44000911713,3,0,1,0,0,0
1509044753140210405,71.1066894531,3,0,1,0,0,0
1509044753239396051,143.884429932,3,0,1,0,0,0
1509044753339060040,215.551101685,3,0,1,0,0,0
1509044753439252995,247.217773438,3,0,1,0,0,0
1509044753538950142,262.773345947,3,0,1,0,0,0
1509044753639000137,272.773376465,3,0,1,0,0,0
1509044753739059279,276.106658936,3,0,1,0,0,0
1509044753838961888,269.440002441,3,0,1,0,0,0
1509044753938930996,266.106628418,3,0,1,0,0,0
1509044754039030423,258.328918457,3,0,1,0,0,0
1509044754138977107,252.773300171,3,0,1,0,0,0
1509044754240502687,243.328872681,3,0,1,0,0,0
1509044754338954370,237.773345947,3,0,1,0,0,0
1509044754439082608,225.551101685,3,0,1,0,0,0
1509044754539031496,217.217788696,3,0,1,0,0,0
1509044754638895871,207.77331543,3,0,1,0,0,0
1509044754738942796,197.773330688,3,0,1,0,0,0
1509044754838945064,192.217788696,3,0,1,0,0,0
1509044754939010937,180.551116943,3,0,1,0,0,0
1509044755038992094,173.328887939,3,0,1,0,0,0
1509044755138934468,163.328903198,3,0,1,0,0,0
1509044755239015137,149.995529175,3,0,1,0,0,0
1509044755338965602,147.773330688,3,0,1,0,0,0
1509044755441858820,141.106674194,3,0,1,0,0,0
