%time,field.header.seq,field.header.stamp,field.header.frame_id,field.brake_torque_request,field.brake_torque_actual,field.wheel_torque_actual,field.accel_over_ground,field.hsa.status,field.hsa.mode,field.abs_active,field.abs_enabled,field.stab_active,field.stab_enabled,field.trac_active,field.trac_enabled,field.parking_brake.status,field.stationary
1509044729571673362,139195,1509044729570325855,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729590491030,139196,1509044729590329777,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729611860073,139197,1509044729610330922,,520.0,460.0,4.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729633864161,139198,1509044729630331715,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729650770886,139199,1509044729650332319,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729671221720,139200,1509044729670340901,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729690543974,139201,1509044729690337424,,520.0,460.0,4.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729710546357,139202,1509044729710337611,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729730556543,139203,1509044729730347046,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729754090697,139204,1509044729750350412,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729770762589,139205,1509044729770357064,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729790906568,139206,1509044729790356452,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729810544302,139207,1509044729810361623,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729830542401,139208,1509044729830360876,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729850583229,139209,1509044729850365868,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729870574263,139210,1509044729870368016,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729890668089,139211,1509044729890376424,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729910798320,139212,1509044729910405023,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729934575462,139213,1509044729933759322,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729950782543,139214,1509044729950398129,,520.0,460.0,4.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729970682255,139215,1509044729970413582,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044729990622168,139216,1509044729990386387,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
1509044730012132909,139217,1509044730010387631,,520.0,460.0,0.0,0.0,0,1,0,1,0,1,0,1,0,1
