%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pedal_input,field.pedal_cmd,field.pedal_output,field.torque_input,field.torque_cmd,field.torque_output,field.boo_input,field.boo_cmd,field.boo_output,field.enabled,field.override,field.driver,field.timeout,field.watchdog_counter.source,field.watchdog_braking,field.fault_wdc,field.fault_ch1,field.fault_ch2,field.fault_boo
1509044729615610573,138979,1509044729615334453,,0.232806891203,0.0,0.232806891203,520.896240234,0.0,520.896240234,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729636864822,138980,1509044729635329599,,0.23402762413,0.0,0.23402762413,521.679138184,0.0,521.679138184,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729656717220,138981,1509044729655324612,,0.232806891203,0.0,0.232806891203,520.896240234,0.0,520.896240234,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729675589778,138982,1509044729675338677,,0.233508810401,0.0,0.233508810401,520.957275391,0.0,520.957275391,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729695549682,138983,1509044729695339971,,0.23320363462,0.0,0.23320363462,520.930725098,0.0,520.930725098,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729715536770,138984,1509044729715344292,,0.232806891203,0.0,0.232806891203,520.896240234,0.0,520.896240234,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729735615246,138985,1509044729735344658,,0.233295187354,0.0,0.233295187354,520.938720703,0.0,520.938720703,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729755524598,138986,1509044729755346288,,0.232806891203,0.0,0.232806891203,520.896240234,0.0,520.896240234,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729776145006,138987,1509044729775352387,,0.233005270362,0.0,0.233005270362,520.913513184,0.0,520.913513184,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729795558822,138988,1509044729795350795,,0.233295187354,0.0,0.233295187354,520.938720703,0.0,520.938720703,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729815971936,138989,1509044729815776612,,0.232974752784,0.0,0.232974752784,520.910827637,0.0,520.910827637,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729836061946,138990,1509044729835779588,,0.232928976417,0.0,0.232928976417,520.906860352,0.0,520.906860352,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729859211547,138991,1509044729855788407,,0.233173117042,0.0,0.233173117042,520.928100586,0.0,520.928100586,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729876373821,138992,1509044729875797762,,0.233447775245,0.0,0.233447775245,520.951965332,0.0,520.951965332,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729896102318,138993,1509044729895795122,,0.233234152198,0.0,0.233234152198,520.933410645,0.0,520.933410645,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729916145722,138994,1509044729915799803,,0.233066305518,0.0,0.233066305518,520.918823242,0.0,520.918823242,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729936419383,138995,1509044729935818673,,0.232944235206,0.0,0.232944235206,520.908203125,0.0,520.908203125,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729956119260,138996,1509044729955802026,,0.232761114836,0.0,0.232761114836,520.892272949,0.0,520.892272949,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729976377213,138997,1509044729975800415,,0.233340963721,0.0,0.233340963721,520.942687988,0.0,520.942687988,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044729996196109,138998,1509044729995894817,,0.23320363462,0.0,0.23320363462,520.930725098,0.0,520.930725098,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730016084884,138999,1509044730015805269,,0.233112081885,0.0,0.233112081885,520.922790527,0.0,520.922790527,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730036385531,139000,1509044730036018881,,0.232928976417,0.0,0.232928976417,520.906860352,0.0,520.906860352,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730056036546,139001,1509044730055810074,,0.23335622251,0.0,0.23335622251,520.944030762,0.0,520.944030762,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730078733845,139002,1509044730075806929,,0.232822149992,0.0,0.232822149992,520.897583008,0.0,520.897583008,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730096637164,139003,1509044730096396921,,0.233051046729,0.0,0.233051046729,520.917480469,0.0,520.917480469,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730116554684,139004,1509044730116396700,,0.232990011573,0.0,0.232990011573,520.91217041,0.0,520.91217041,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730136664896,139005,1509044730136402855,,0.23285266757,0.0,0.23285266757,520.90020752,0.0,520.90020752,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730156586850,139006,1509044730156401911,,0.233386740088,0.0,0.233386740088,520.946655273,0.0,520.946655273,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730176624421,139007,1509044730176403651,,0.233569845557,0.0,0.233569845557,520.962585449,0.0,520.962585449,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730196517863,139008,1509044730196396394,,0.233081564307,0.0,0.233081564307,520.920166016,0.0,520.920166016,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730216635000,139009,1509044730216405559,,0.233112081885,0.0,0.233112081885,520.922790527,0.0,520.922790527,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730236685920,139010,1509044730236416304,,0.232837408781,0.0,0.232837408781,520.898925781,0.0,520.898925781,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730256605266,139011,1509044730256407369,,0.233417257667,0.0,0.233417257667,520.94934082,0.0,520.94934082,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730276531482,139012,1509044730276414876,,0.232776373625,0.0,0.232776373625,520.893615723,0.0,520.893615723,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730296543779,139013,1509044730296414583,,0.233173117042,0.0,0.233173117042,520.928100586,0.0,520.928100586,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730316666426,139014,1509044730316437182,,0.233081564307,0.0,0.233081564307,520.920166016,0.0,520.920166016,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730338366969,139015,1509044730336551905,,0.233310446143,0.0,0.233310446143,520.940063477,0.0,520.940063477,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730356542781,139016,1509044730356417725,,0.23285266757,0.0,0.23285266757,520.90020752,0.0,520.90020752,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730376647913,139017,1509044730376430013,,0.232776373625,0.0,0.232776373625,520.893615723,0.0,520.893615723,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730397034188,139018,1509044730396858996,,0.233279928565,0.0,0.233279928565,520.93737793,0.0,520.93737793,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730416931356,139019,1509044730416848777,,0.233020529151,0.0,0.233020529151,520.914855957,0.0,520.914855957,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730436623341,139020,1509044730436509876,,0.23320363462,0.0,0.23320363462,520.930725098,0.0,520.930725098,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730456611893,139021,1509044730456516491,,0.233157858253,0.0,0.233157858253,520.926757812,0.0,520.926757812,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730476634159,139022,1509044730476517428,,0.232623785734,0.0,0.232623785734,520.880310059,0.0,520.880310059,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730496594222,139023,1509044730496519333,,0.233188375831,0.0,0.233188375831,520.929443359,0.0,520.929443359,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730516624524,139024,1509044730516530975,,0.23320363462,0.0,0.23320363462,520.930725098,0.0,520.930725098,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730536711154,139025,1509044730536626220,,0.232745856047,0.0,0.232745856047,520.890930176,0.0,520.890930176,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730556968133,139026,1509044730556864316,,0.233218893409,0.0,0.233218893409,520.932067871,0.0,520.932067871,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730577079831,139027,1509044730576875985,,0.233279928565,0.0,0.233279928565,520.93737793,0.0,520.93737793,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730597027828,139028,1509044730596902802,,0.232898443937,0.0,0.232898443937,520.90423584,0.0,520.90423584,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730617069462,139029,1509044730616907768,,0.232761114836,0.0,0.232761114836,520.892272949,0.0,520.892272949,1,0,1,0,1,1,0,0,0,0,0,0,0
1509044730636983544,139030,1509044730636874725,,0.233081564307,0.0,0.233081564307,520.920166016,0.0,520.920166016,1,0,1,0,1,1,0,0,0,0,0,0,0
