%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fuel_level
1509044729626008429,27845,1509044729625761073,,35.4348945618
1509044729725999131,27846,1509044729725767787,,35.4348945618
1509044729826389191,27847,1509044729825778415,,35.4348945618
1509044729926144426,27848,1509044729925800187,,35.4348945618
1509044730026031471,27849,1509044730025802953,,35.4348945618
1509044730126636710,27850,1509044730126401436,,35.4348945618
1509044730225989598,27851,1509044730225828368,,35.4348945618
1509044730326062848,27852,1509044730325836730,,35.4348945618
1509044730425948294,27853,1509044730425847384,,35.4348945618
1509044730526010531,27854,1509044730525893684,,35.4348945618
1509044730626074637,27855,1509044730625897858,,35.4348945618
1509044730726123004,27856,1509044730726010918,,35.4348945618
1509044730826070903,27857,1509044730825984669,,35.4348945618
1509044730926151790,27858,1509044730925949977,,35.4348945618
1509044731026647920,27859,1509044731026512541,,35.4348945618
1509044731126883929,27860,1509044731126720457,,35.4348945618
1509044731226225223,27861,1509044731226008343,,35.4348945618
1509044731326128252,27862,1509044731325974347,,35.4348945618
1509044731426121774,27863,1509044731426006329,,35.4348945618
1509044731526125777,27864,1509044731526001581,,35.4348945618
1509044731626163546,27865,1509044731626017078,,35.4348945618
1509044731726152711,27866,1509044731726022738,,35.4348945618
1509044731826189738,27867,1509044731826039209,,35.4348945618
1509044731926193951,27868,1509044731926054021,,35.4348945618
1509044732026201176,27869,1509044732026086732,,35.4348945618
1509044732126892528,27870,1509044732126690226,,35.4348945618
1509044732226261749,27871,1509044732226120254,,35.4348945618
1509044732326235368,27872,1509044732326102396,,35.4348945618
1509044732426396752,27873,1509044732426144065,,35.4348945618
1509044732526269192,27874,1509044732526130774,,35.4348945618
1509044732626397392,27875,1509044732626169038,,35.4348945618
1509044732726278480,27876,1509044732726175677,,35.4348945618
1509044732826317030,27877,1509044732826191904,,35.4348945618
1509044732926302752,27878,1509044732926180733,,35.4348945618
1509044733026278025,27879,1509044733026193500,,35.4348945618
1509044733127037744,27880,1509044733126814731,,35.4348945618
1509044733226364645,27881,1509044733226244261,,35.4348945618
1509044733326359127,27882,1509044733326237793,,35.4348945618
1509044733426391674,27883,1509044733426257679,,35.4348945618
