%time,field.header.seq,field.header.stamp,field.header.frame_id,field.state.gear,field.cmd.gear,field.reject.value,field.override,field.fault_bus
1509044729648460580,55587,1509044729643490565,,4,0,0,0,0
1509044729693593062,55588,1509044729693422954,,4,0,0,0,0
1509044729743790764,55589,1509044729743432656,,4,0,0,0,0
1509044729794022847,55590,1509044729793766602,,4,0,0,0,0
1509044729844072473,55591,1509044729843777438,,4,0,0,0,0
1509044729894083570,55592,1509044729893859430,,4,0,0,0,0
1509044729944228879,55593,1509044729943897689,,4,0,0,0,0
1509044729994536288,55594,1509044729994296537,,4,0,0,0,0
1509044730046095939,55595,1509044730044780830,,4,0,0,0,0
1509044730094646890,55596,1509044730094475797,,4,0,0,0,0
1509044730145053263,55597,1509044730144606041,,4,0,0,0,0
1509044730194650238,55598,1509044730194494777,,4,0,0,0,0
1509044730244722785,55599,1509044730244559176,,4,0,0,0,0
1509044730294557511,55600,1509044730294494085,,4,0,0,0,0
1509044730344585936,55601,1509044730344502205,,4,0,0,0,0
1509044730395027556,55602,1509044730394873991,,4,0,0,0,0
1509044730444993906,55603,1509044730444857472,,4,0,0,0,0
1509044730494995230,55604,1509044730494867081,,4,0,0,0,0
1509044730544956050,55605,1509044730544863548,,4,0,0,0,0
1509044730595014798,55606,1509044730594877557,,4,0,0,0,0
1509044730645709494,55607,1509044730645494676,,4,0,0,0,0
1509044730695744999,55608,1509044730695472809,,4,0,0,0,0
1509044730745599485,55609,1509044730745471254,,4,0,0,0,0
1509044730795847836,55610,1509044730795496378,,4,0,0,0,0
1509044730845607901,55611,1509044730845488372,,4,0,0,0,0
1509044730895700137,55612,1509044730895542743,,4,0,0,0,0
1509044730945595911,55613,1509044730945497776,,4,0,0,0,0
1509044730995615113,55614,1509044730995506927,,4,0,0,0,0
1509044731046080199,55615,1509044731045936362,,4,0,0,0,0
1509044731096185998,55616,1509044731096080543,,4,0,0,0,0
1509044731146031884,55617,1509044731145944127,,4,0,0,0,0
1509044731196098152,55618,1509044731195949197,,4,0,0,0,0
1509044731246135406,55619,1509044731245962013,,4,0,0,0,0
1509044731296755689,55620,1509044731296622797,,4,0,0,0,0
1509044731346719486,55621,1509044731346576354,,4,0,0,0,0
1509044731396782654,55622,1509044731396656901,,4,0,0,0,0
1509044731446800194,55623,1509044731446574898,,4,0,0,0,0
1509044731496736310,55624,1509044731496655302,,4,0,0,0,0
1509044731546762527,55625,1509044731546606216,,4,0,0,0,0
1509044731596796945,55626,1509044731596696325,,4,0,0,0,0
1509044731646780753,55627,1509044731646607562,,4,0,0,0,0
