%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1509044729785578173,2784,1509044729784765286,,1509044726000000000,
1509044730785084059,2785,1509044730783901205,,1509044727000000000,
1509044731784887470,2786,1509044731784618399,,1509044728000000000,
1509044732784908168,2787,1509044732782765543,,1509044729000000000,
1509044733785042294,2788,1509044733784293790,,1509044730000000000,
1509044734797107887,2789,1509044734795042519,,1509044731000000000,
1509044735785265512,2790,1509044735784144781,,1509044732000000000,
1509044736785481168,2791,1509044736784298398,,1509044733000000000,
1509044737785482670,2792,1509044737784940952,,1509044734000000000,
1509044738798060145,2793,1509044738795547648,,1509044735000000000,
1509044739785306845,2794,1509044739784680969,,1509044736000000000,
1509044740786939532,2795,1509044740785236099,,1509044737000000000,
1509044741785495189,2796,1509044741784951773,,1509044738000000000,
1509044742785333543,2797,1509044742785083135,,1509044739000000000,
1509044743785917783,2798,1509044743785638834,,1509044740000000000,
1509044744785559869,2799,1509044744785353247,,1509044741000000000,
1509044745785855468,2800,1509044745784927611,,1509044742000000000,
1509044746786102001,2801,1509044746785635335,,1509044743000000000,
1509044747785859235,2802,1509044747785166498,,1509044744000000000,
1509044748786385016,2803,1509044748785303869,,1509044745000000000,
1509044749786186098,2804,1509044749785435659,,1509044746000000000,
1509044750786261328,2805,1509044750785150106,,1509044747000000000,
1509044751778598445,2806,1509044751776294618,,1509044748000000000,
1509044752780248747,2807,1509044752775839861,,1509044749000000000,
1509044753778170699,2808,1509044753776004434,,1509044750000000000,
1509044754786280926,2809,1509044754785692130,,1509044751000000000,
1509044755786905043,2810,1509044755785819552,,1509044752000000000,
1509044756786124855,2811,1509044756785377706,,1509044753000000000,
1509044757786303663,2812,1509044757785530748,,1509044754000000000,
1509044758800560388,2813,1509044758796247129,,1509044755000000000,
1509044759785923301,2814,1509044759785358250,,1509044756000000000,
1509044760779273768,2815,1509044760775913541,,1509044757000000000,
