%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1509044729623586863,277726,1509044729623323043,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.24,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729634200285,277727,1509044729633404665,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.24,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729648425593,277728,1509044729643487241,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729653933675,277729,1509044729653415847,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.27,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729664721901,277730,1509044729663431828,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.29,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729673552100,277731,1509044729673436908,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,-9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729684527540,277732,1509044729684409587,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.29,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729693561476,277733,1509044729693421203,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.27,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729703663498,277734,1509044729703426639,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.27,-10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729713553097,277735,1509044729713442483,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729723536055,277736,1509044729723422215,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.27,-9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729733705390,277737,1509044729733418236,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.28,-10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729743758388,277738,1509044729743430620,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.28,-10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729754224419,277739,1509044729753422427,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.28,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509044729763871505,277740,1509044729763760591,base_footprint,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,-10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
