%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.fields0.name,field.fields0.offset,field.fields0.datatype,field.fields0.count,field.fields1.name,field.fields1.offset,field.fields1.datatype,field.fields1.count,field.fields2.name,field.fields2.offset,field.fields2.datatype,field.fields2.count,field.fields3.name,field.fields3.offset,field.fields3.datatype,field.fields3.count,field.is_bigendian,field.point_step,field.row_step,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.is_dense
1509044729686932162,14033,1509044729686752232,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044729888065506,14034,1509044729887792062,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044730089581627,14035,1509044730089392556,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044730290603574,14036,1509044730290491801,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044730491994302,14037,1509044730491864984,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044730693652183,14038,1509044730693551031,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044730894595291,14039,1509044730894516120,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044731096126112,14040,1509044731095986179,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044731297673020,14041,1509044731297573004,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044731498822656,14042,1509044731498654859,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044731700271889,14043,1509044731700133626,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044731901810443,14044,1509044731901628017,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044732102963616,14045,1509044732102684635,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044732219744935,14046,1509044732219665219,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044732241868897,14047,1509044732241679083,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
1509044732442280728,14048,1509044732442124479,base_link,1,1,x,0,7,1,y,4,7,1,z,8,7,1,rgba,12,7,1,0,16,16,0,0,192,127,0,0,192,127,0,0,192,127,0,0,0,0,1
