%time,field.header.seq,field.header.stamp,field.header.frame_id,field.steering_wheel_angle,field.steering_wheel_angle_cmd,field.steering_wheel_torque,field.speed,field.enabled,field.override,field.timeout,field.fault_wdc,field.fault_bus1,field.fault_bus2,field.fault_calibration
1509044729618937493,138967,1509044729618330735,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729639633178,138968,1509044729638752963,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729659421504,138969,1509044729658753457,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729679021400,138970,1509044729678761180,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729698975774,138971,1509044729698758298,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729721439964,138972,1509044729718766309,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729739180853,138973,1509044729738770251,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729759024920,138974,1509044729758768441,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729779363541,138975,1509044729778772661,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729799033067,138976,1509044729798773318,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729819262314,138977,1509044729818788897,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729839146838,138978,1509044729838784111,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729859196257,138979,1509044729858787117,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729879086930,138980,1509044729878792422,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729902419987,138981,1509044729899374432,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729920016278,138982,1509044729919383132,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729939874107,138983,1509044729939383691,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729959930970,138984,1509044729959565285,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044729979927097,138985,1509044729979389798,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730001454035,138986,1509044729999388609,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730019791423,138987,1509044730019389154,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730039734050,138988,1509044730039392119,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730059661601,138989,1509044730059391176,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730082338267,138990,1509044730081923205,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730099619318,138991,1509044730099399321,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730119637664,138992,1509044730119399484,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730141172981,138993,1509044730140820640,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730159567481,138994,1509044730159401318,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730179577423,138995,1509044730179402333,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730199625836,138996,1509044730199406223,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730219725259,138997,1509044730219410122,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730239599551,138998,1509044730239414062,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730260018737,138999,1509044730259832758,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730279977809,139000,1509044730279835843,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730300349510,139001,1509044730299865192,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730319984619,139002,1509044730319842167,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730340102602,139003,1509044730339849701,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730360002769,139004,1509044730359841657,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730380073779,139005,1509044730379853984,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730400158005,139006,1509044730399881143,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730420050840,139007,1509044730419928354,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730440472573,139008,1509044730439954774,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730460581233,139009,1509044730460436782,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730480825238,139010,1509044730480445431,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730500560157,139011,1509044730500441500,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730520094986,139012,1509044730519998698,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730540128558,139013,1509044730539974240,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730560652021,139014,1509044730560472706,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730580350780,139015,1509044730580107574,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730600651912,139016,1509044730600506662,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730620213869,139017,1509044730620055464,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730640730516,139018,1509044730640550265,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730660655099,139019,1509044730660462951,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730680680371,139020,1509044730680463609,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730700596917,139021,1509044730700464952,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730720633088,139022,1509044730720467889,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730740627371,139023,1509044730740491687,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730760617386,139024,1509044730760475218,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730780670335,139025,1509044730780505622,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730801445302,139026,1509044730800482978,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730820632609,139027,1509044730820479830,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730840611421,139028,1509044730840506156,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730860642401,139029,1509044730860487512,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730880606767,139030,1509044730880488049,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730901108123,139031,1509044730900491725,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730921315708,139032,1509044730920941319,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730941087527,139033,1509044730940916145,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730961034747,139034,1509044730960939645,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044730981047842,139035,1509044730980920424,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731001041950,139036,1509044731000925342,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731021126323,139037,1509044731020949916,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731041115642,139038,1509044731040928083,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731061050293,139039,1509044731060931096,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731081166597,139040,1509044731080956708,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731101210368,139041,1509044731100982882,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731121074633,139042,1509044731120939282,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731141064140,139043,1509044731140941776,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731161172417,139044,1509044731160966139,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731181072159,139045,1509044731180947971,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731201633864,139046,1509044731201529689,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731221700822,139047,1509044731221538150,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731242020113,139048,1509044731241569933,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
1509044731261780224,139049,1509044731261541747,,0.0663225129247,-2.93738913536,-0.1875,0.0,0,0,0,0,0,0,0
