%time,field.pedal_cmd,field.pedal_cmd_type,field.enable,field.clear,field.ignore,field.count
1509044731639046483,1.0,2,1,0,0,0
1509044731738958438,1.0,2,1,0,0,0
1509044731838917865,1.0,2,1,0,0,0
1509044731938917339,1.0,2,1,0,0,0
1509044732038884311,1.0,2,1,0,0,0
1509044732139065489,1.0,2,1,0,0,0
1509044732238903646,0.774398207664,2,1,0,0,0
1509044732338836408,0.213707029819,2,1,0,0,0
1509044736638990656,1.0,2,1,0,0,0
1509044736739301701,1.0,2,1,0,0,0
1509044736838860651,1.0,2,1,0,0,0
1509044736938872854,1.0,2,1,0,0,0
1509044737038940781,1.0,2,1,0,0,0
1509044737139138460,1.0,2,1,0,0,0
1509044737238892980,1.0,2,1,0,0,0
1509044737338995757,1.0,2,1,0,0,0
1509044737438976387,0.827769637108,2,1,0,0,0
1509044737538835541,0.472488224506,2,1,0,0,0
1509044737638919751,0.0991741940379,2,1,0,0,0
1509044741738910584,0.0556014627218,2,1,0,0,0
1509044741838928690,0.0807207971811,2,1,0,0,0
1509044741938949860,0.103175848722,2,1,0,0,0
1509044742038848917,0.103498734534,2,1,0,0,0
1509044742138940513,0.0927557125688,2,1,0,0,0
1509044742240667623,0.0322392247617,2,1,0,0,0
1509044742338861160,0.00144848320633,2,1,0,0,0
1509044751938877959,1.0,2,1,0,0,0
1509044752038867373,1.0,2,1,0,0,0
1509044752138875011,1.0,2,1,0,0,0
1509044752238957708,1.0,2,1,0,0,0
1509044752338881350,1.0,2,1,0,0,0
1509044752438973781,1.0,2,1,0,0,0
1509044752538831092,1.0,2,1,0,0,0
1509044752638978769,1.0,2,1,0,0,0
1509044752738898653,1.0,2,1,0,0,0
1509044752839028113,1.0,2,1,0,0,0
1509044752938986253,1.0,2,1,0,0,0
