%time,field.header.seq,field.header.stamp,field.header.frame_id,field.throttle_pc,field.throttle_rate,field.engine_rpm
1509044729623645675,278401,1509044729623402139,,0.0,0.0,1165.5
1509044729634257967,278402,1509044729632322926,,0.0,0.0,1137.5
1509044729648507752,278403,1509044729644747591,,0.0,0.0,1162.75
1509044729653967939,278404,1509044729652744291,,0.0,0.0,1162.75
1509044729664758896,278405,1509044729663336122,,0.0,0.0,1138.75
1509044729672460142,278406,1509044729672328731,,0.0,0.0,1156.0
1509044729683581791,278407,1509044729683341441,,0.0,0.0,1156.0
1509044729692461438,278408,1509044729692332447,,0.0,0.0,1152.0
1509044729703700531,278409,1509044729703343460,,0.0,0.0,1150.5
1509044729712475058,278410,1509044729712338179,,0.0,0.0,1150.5
1509044729722939996,278411,1509044729722764075,,0.0,0.0,1162.75
1509044729732521776,278412,1509044729732338949,,0.0,0.0,1133.75
1509044729746328698,278413,1509044729744768259,,0.0,0.0,1133.75
1509044729754289544,278414,1509044729752341578,,0.0,0.0,1162.75
1509044729763574554,278415,1509044729763350387,,0.0,0.0,1141.5
1509044729773690692,278416,1509044729772345871,,0.0,0.0,1141.5
1509044729783323800,278417,1509044729782775591,,0.0,0.0,1157.25
1509044729792488881,278418,1509044729792346066,,0.0,0.0,1161.25
1509044729803664459,278419,1509044729803355500,,0.0,0.0,1161.25
1509044729812488986,278420,1509044729812352801,,0.0,0.0,1150.5
1509044729823592420,278421,1509044729823362645,,0.0,0.0,1164.0
1509044729833042956,278422,1509044729832781989,,0.0,0.0,1164.0
1509044729844703868,278423,1509044729844358811,,0.0,0.0,1135.0
1509044729854334397,278424,1509044729852360153,,0.0,0.0,1164.0
1509044729863745632,278425,1509044729863378700,,0.0,0.0,1164.0
1509044729872739533,278426,1509044729872453997,,0.0,0.0,1142.75
1509044729883633175,278427,1509044729883373785,,0.0,0.0,1157.25
1509044729892690010,278428,1509044729892444907,,0.0,0.0,1157.25
1509044729904031768,278429,1509044729903386678,,0.0,0.0,1156.0
1509044729912815434,278430,1509044729912451432,,0.0,0.0,1145.25
1509044729923758652,278431,1509044729923380942,,0.0,0.0,1145.25
1509044729936462155,278432,1509044729935815148,,0.0,0.0,1165.5
1509044729944817344,278433,1509044729944541685,,0.0,0.0,1136.25
1509044729952816278,278434,1509044729952458176,,0.0,0.0,1136.25
1509044729963728386,278435,1509044729963387345,,0.0,0.0,1165.5
1509044729972696469,278436,1509044729972553032,,0.0,0.0,1149.25
1509044729983970631,278437,1509044729983540696,,0.0,0.0,1149.25
1509044729992793704,278438,1509044729992454451,,0.0,0.0,1150.5
1509044730004406406,278439,1509044730003388118,,0.0,0.0,1164.0
1509044730013799069,278440,1509044730012534860,,0.0,0.0,1164.0
1509044730023709860,278441,1509044730023387981,,0.0,0.0,1142.75
1509044730032899549,278442,1509044730032663536,,0.0,0.0,1168.0
1509044730046155909,278443,1509044730045875820,,0.0,0.0,1168.0
1509044730052706975,278444,1509044730052499689,,0.0,0.0,1140.25
1509044730067558135,278445,1509044730063390565,,0.0,0.0,1168.0
1509044730072609815,278446,1509044730072461026,,0.0,0.0,1168.0
1509044730083615667,278447,1509044730083391703,,0.0,0.0,1161.25
1509044730092627492,278448,1509044730092386922,,0.0,0.0,1156.0
1509044730103587792,278449,1509044730103399208,,0.0,0.0,1156.0
1509044730112613933,278450,1509044730112390172,,0.0,0.0,1170.75
1509044730122987478,278451,1509044730122819804,,0.0,0.0,1145.25
1509044730132932741,278452,1509044730132732110,,0.0,0.0,1145.25
1509044730145056636,278453,1509044730144538402,,0.0,0.0,1166.75
1509044730152545327,278454,1509044730152395787,,0.0,0.0,1150.5
1509044730163709885,278455,1509044730163405966,,0.0,0.0,1150.5
1509044730172830143,278456,1509044730172397605,,0.0,0.0,1166.75
1509044730182994687,278457,1509044730182818647,,0.0,0.0,1169.5
1509044730192532111,278458,1509044730192398205,,0.0,0.0,1169.5
1509044730203028326,278459,1509044730202831432,,0.0,0.0,1152.0
1509044730212530717,278460,1509044730212402825,,0.0,0.0,1173.5
1509044730223618592,278461,1509044730223408793,,0.0,0.0,1173.5
1509044730232784083,278462,1509044730232411471,,0.0,0.0,1140.25
1509044730244569230,278463,1509044730244415029,,0.0,0.0,1173.5
1509044730252920314,278464,1509044730252826499,,0.0,0.0,1173.5
1509044730263133508,278465,1509044730262835250,,0.0,0.0,1158.5
1509044730273038454,278466,1509044730272910542,,0.0,0.0,1169.5
1509044730283605790,278467,1509044730283413254,,0.0,0.0,1169.5
1509044730292522865,278468,1509044730292413068,,0.0,0.0,1175.0
1509044730303043159,278469,1509044730302841216,,0.0,0.0,1148.0
1509044730312554106,278470,1509044730312417118,,0.0,0.0,1148.0
1509044730323596526,278471,1509044730323423525,,0.0,0.0,1179.0
1509044730332638369,278472,1509044730332500222,,0.0,0.0,1145.25
1509044730344590202,278473,1509044730344427120,,0.0,0.0,1145.25
1509044730352569481,278474,1509044730352421136,,0.0,0.0,1170.75
1509044730363643101,278475,1509044730363454410,,0.0,0.0,1166.75
1509044730373001294,278476,1509044730372922380,,0.0,0.0,1166.75
1509044730382995433,278477,1509044730382848994,,0.0,0.0,1166.75
1509044730392716311,278478,1509044730392535762,,0.0,0.0,1175.0
1509044730403643021,278479,1509044730403456349,,0.0,0.0,1175.0
1509044730412584109,278480,1509044730412447945,,0.0,0.0,1140.25
1509044730422984202,278481,1509044730422858724,,0.0,0.0,1173.5
1509044730432607859,278482,1509044730432510547,,0.0,0.0,1173.5
1509044730444589591,278483,1509044730444442947,,0.0,0.0,1158.5
1509044730453052308,278484,1509044730452854696,,0.0,0.0,1162.75
1509044730463597659,278485,1509044730463444136,,0.0,0.0,1162.75
1509044730472557672,278486,1509044730472438134,,0.0,0.0,1175.0
1509044730483019928,278487,1509044730482862679,,0.0,0.0,1153.25
