%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pedal_input,field.pedal_cmd,field.pedal_output,field.enabled,field.override,field.driver,field.timeout,field.watchdog_counter.source,field.fault_wdc,field.fault_ch1,field.fault_ch2
1509044729612113553,138978,1509044729611402593,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729634170091,138979,1509044729631742220,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729652440917,138980,1509044729651745105,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729671883068,138981,1509044729671750740,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729691853911,138982,1509044729691748023,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729711884138,138983,1509044729711756602,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729731936681,138984,1509044729731757964,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729754188468,138985,1509044729751761473,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729772141647,138986,1509044729771764806,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729791927400,138987,1509044729791764642,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729811900941,138988,1509044729811769982,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729831918795,138989,1509044729831772569,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729854005631,138990,1509044729851776793,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729872734627,138991,1509044729872371844,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729892662373,138992,1509044729892369850,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729912808443,138993,1509044729912375585,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729936394128,138994,1509044729935803591,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729952772743,138995,1509044729952381196,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729972585939,138996,1509044729972377820,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044729992770880,138997,1509044729992385106,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730013790268,138998,1509044730012434989,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730033151263,138999,1509044730032975451,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730052604785,139000,1509044730052386351,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730072593501,139001,1509044730072382382,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730092605666,139002,1509044730092464416,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730112617032,139003,1509044730112486678,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730132914506,139004,1509044730132640400,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730152642199,139005,1509044730152556578,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730172821344,139006,1509044730172493577,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730192912275,139007,1509044730192817477,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730212643946,139008,1509044730212507285,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730232779320,139009,1509044730232482732,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730252538456,139010,1509044730252411487,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730272946038,139011,1509044730272834032,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730292562975,139012,1509044730292493311,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730312965688,139013,1509044730312835767,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730332660909,139014,1509044730332582156,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730352960025,139015,1509044730352841729,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730372996905,139016,1509044730372869593,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730393024707,139017,1509044730392872227,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730413045898,139018,1509044730412865728,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730432963651,139019,1509044730432850146,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730453057392,139020,1509044730452941051,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730472966133,139021,1509044730472853891,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730492969916,139022,1509044730492856543,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730512957670,139023,1509044730512857534,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730532988495,139024,1509044730532867219,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730553545095,139025,1509044730553447892,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730573589666,139026,1509044730573446763,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730593632062,139027,1509044730593481514,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730613604222,139028,1509044730613498751,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730633584492,139029,1509044730633455881,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730653593963,139030,1509044730653483730,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730673572192,139031,1509044730673464541,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730693614651,139032,1509044730693470272,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
1509044730713543320,139033,1509044730713466831,,0.149950414896,0.0,0.149950414896,0,1,0,0,0,0,0,0
