%time,field.header.seq,field.header.stamp,field.header.frame_id,field.front_left,field.front_right,field.rear_left,field.rear_right
1509044729628549019,5567,1509044729628332511,,251.0,241.0,244.0,242.0
1509044730128563382,5568,1509044730128397293,,251.0,241.0,244.0,242.0
1509044730628628045,5569,1509044730628455843,,251.0,241.0,244.0,242.0
1509044731129121494,5570,1509044731128948410,,251.0,241.0,244.0,242.0
1509044731628837254,5571,1509044731628590077,,251.0,241.0,244.0,242.0
1509044732128861347,5572,1509044732128690786,,251.0,241.0,244.0,242.0
1509044732628974184,5573,1509044732628751020,,251.0,241.0,244.0,242.0
1509044733129022198,5574,1509044733128840919,,251.0,241.0,244.0,242.0
1509044733628365360,5575,1509044733628278102,,251.0,241.0,244.0,242.0
1509044734129027909,5576,1509044734128926327,,251.0,241.0,244.0,242.0
1509044734628483325,5577,1509044734628408425,,251.0,241.0,244.0,242.0
1509044735129195426,5578,1509044735129074230,,251.0,241.0,244.0,242.0
1509044735628728343,5579,1509044735628566055,,251.0,241.0,244.0,242.0
1509044736128784268,5580,1509044736128693786,,251.0,241.0,244.0,242.0
1509044736628855095,5581,1509044736628675792,,251.0,241.0,244.0,242.0
1509044737128866203,5582,1509044737128749485,,251.0,241.0,244.0,242.0
1509044737628584740,5583,1509044737628485490,,251.0,241.0,244.0,242.0
1509044738129538877,5584,1509044738129455875,,251.0,241.0,244.0,242.0
1509044738628650327,5585,1509044738628527850,,251.0,241.0,244.0,242.0
1509044739129108518,5586,1509044739129011492,,251.0,241.0,244.0,242.0
1509044739628762617,5587,1509044739628661688,,251.0,241.0,244.0,242.0
1509044740129319513,5588,1509044740129143328,,251.0,241.0,244.0,242.0
1509044740628965770,5589,1509044740628797238,,251.0,241.0,244.0,242.0
1509044741129394167,5590,1509044741129281042,,251.0,241.0,244.0,242.0
1509044741629017439,5591,1509044741628926633,,251.0,241.0,244.0,242.0
1509044742129096923,5592,1509044742128990572,,251.0,241.0,244.0,242.0
1509044742629210588,5593,1509044742629068097,,251.0,241.0,244.0,242.0
1509044743129714931,5594,1509044743129575003,,251.0,241.0,244.0,242.0
1509044743628740533,5595,1509044743628620032,,251.0,241.0,244.0,242.0
1509044744129408253,5596,1509044744129291863,,251.0,241.0,244.0,242.0
1509044744628883649,5597,1509044744628776574,,251.0,241.0,244.0,242.0
1509044745129859387,5598,1509044745129414489,,251.0,241.0,244.0,242.0
1509044745629208492,5599,1509044745628886446,,251.0,241.0,244.0,242.0
1509044746129648942,5600,1509044746129553386,,251.0,241.0,244.0,242.0
1509044746633935734,5601,1509044746629024735,,251.0,241.0,244.0,242.0
1509044747129769290,5602,1509044747129662514,,251.0,241.0,244.0,242.0
1509044747629237499,5603,1509044747629148071,,251.0,241.0,244.0,242.0
1509044748128873128,5604,1509044748128793706,,251.0,241.0,244.0,242.0
1509044748630190303,5605,1509044748629870240,,251.0,241.0,244.0,242.0
1509044749129459480,5606,1509044749129350120,,251.0,241.0,244.0,242.0
1509044749629138426,5607,1509044749629005837,,251.0,241.0,244.0,242.0
1509044750129629350,5608,1509044750129483926,,251.0,241.0,244.0,242.0
1509044750629340911,5609,1509044750629243432,,251.0,241.0,244.0,242.0
1509044751129324917,5610,1509044751129221389,,251.0,241.0,244.0,242.0
1509044751629394065,5611,1509044751629270370,,251.0,241.0,244.0,242.0
1509044752129479577,5612,1509044752129359050,,251.0,241.0,244.0,242.0
1509044752629548237,5613,1509044752629420629,,251.0,241.0,244.0,242.0
1509044753134242702,5614,1509044753130035751,,251.0,241.0,244.0,242.0
1509044753629073301,5615,1509044753628962260,,251.0,241.0,244.0,242.0
1509044754129806332,5616,1509044754129601079,,251.0,241.0,244.0,242.0
1509044754629197093,5617,1509044754629091752,,251.0,241.0,244.0,242.0
1509044755129246481,5618,1509044755129155119,,251.0,241.0,244.0,242.0
1509044755629299224,5619,1509044755629218486,,251.0,241.0,244.0,242.0
1509044756129367027,5620,1509044756129287481,,251.0,241.0,244.0,242.0
1509044756629524765,5621,1509044756629362538,,251.0,241.0,244.0,242.0
1509044757129513566,5622,1509044757129428024,,251.0,241.0,244.0,242.0
1509044757629186819,5623,1509044757629072325,,251.0,241.0,244.0,242.0
1509044758129652724,5624,1509044758129573798,,251.0,241.0,244.0,242.0
1509044758629311413,5625,1509044758629203823,,251.0,241.0,244.0,242.0
1509044759129414398,5626,1509044759129274150,,251.0,241.0,244.0,242.0
1509044759629555164,5627,1509044759629417781,,251.0,241.0,244.0,242.0
1509044760129528313,5628,1509044760129409850,,251.0,241.0,244.0,242.0
1509044760629032431,5629,1509044760628891882,,251.0,241.0,244.0,242.0
1509044761129669642,5630,1509044761129560558,,251.0,241.0,244.0,242.0
