%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lights0.header.seq,field.lights0.header.stamp,field.lights0.header.frame_id,field.lights0.pose.header.seq,field.lights0.pose.header.stamp,field.lights0.pose.header.frame_id,field.lights0.pose.pose.position.x,field.lights0.pose.pose.position.y,field.lights0.pose.pose.position.z,field.lights0.pose.pose.orientation.x,field.lights0.pose.pose.orientation.y,field.lights0.pose.pose.orientation.z,field.lights0.pose.pose.orientation.w,field.lights0.state
1509044730661375369,1,1509044730341073989,/world,1,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730681394070,2,1509044730341073989,/world,2,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730701387958,3,1509044730341073989,/world,3,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730721357734,4,1509044730341073989,/world,4,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730741359745,5,1509044730341073989,/world,5,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730761413079,6,1509044730341073989,/world,6,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730781445659,7,1509044730341073989,/world,7,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730801472866,8,1509044730341073989,/world,8,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730821368255,9,1509044730341073989,/world,9,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
1509044730841592267,10,1509044730341073989,/world,10,1509044730341073989,/world,0,1509044730341085910,/world,20.991,22.837,1.524,0.0,0.0,0.000698131644088,0.999999756306,3
