%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1509044729558811210,138964,1509044729558327733,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729578583115,138965,1509044729578324698,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729601132871,138966,1509044729598329641,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729618867293,138967,1509044729618330735,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729639496058,138968,1509044729638752963,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729659285521,138969,1509044729658753457,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729678936127,138970,1509044729678761180,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729698911938,138971,1509044729698758298,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729721325804,138972,1509044729718766309,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729739067105,138973,1509044729738770251,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729758994444,138974,1509044729758768441,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729779273126,138975,1509044729778772661,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729799019683,138976,1509044729798773318,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729819218826,138977,1509044729818788897,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729839114072,138978,1509044729838784111,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729859150376,138979,1509044729858787117,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729879056305,138980,1509044729878792422,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729902260087,138981,1509044729899374432,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729919900245,138982,1509044729919383132,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729939819733,138983,1509044729939383691,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729959886424,138984,1509044729959565285,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044729979849695,138985,1509044729979389798,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730000403001,138986,1509044729999388609,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730019783942,138987,1509044730019389154,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730039694986,138988,1509044730039392119,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730059655349,138989,1509044730059391176,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730082273588,138990,1509044730081923205,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730099600477,138991,1509044730099399321,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730119611113,138992,1509044730119399484,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730141144025,138993,1509044730140820640,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730159560168,138994,1509044730159401318,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730179556504,138995,1509044730179402333,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730199615510,138996,1509044730199406223,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730219701856,138997,1509044730219410122,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730239585750,138998,1509044730239414062,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730260112283,138999,1509044730259832758,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730279963428,139000,1509044730279835843,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730300332787,139001,1509044730299865192,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730319977586,139002,1509044730319842167,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730340043496,139003,1509044730339849701,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730359992185,139004,1509044730359841657,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730380064319,139005,1509044730379853984,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730400147737,139006,1509044730399881143,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730420039832,139007,1509044730419928354,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
1509044730440435796,139008,1509044730439954774,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0
