%time,field.header.seq,field.header.stamp,field.header.frame_id,field.front_left,field.front_right,field.rear_left,field.rear_right
1509044729558355459,139215,1509044729556322393,,-509,-451,-499,-383
1509044729577368823,139216,1509044729576750860,,-509,-451,-499,-383
1509044729596916409,139217,1509044729596746643,,-509,-451,-499,-383
1509044729616544725,139218,1509044729616328425,,-509,-451,-499,-383
1509044729636716473,139219,1509044729636395776,,-509,-451,-499,-383
1509044729656590477,139220,1509044729656324326,,-509,-451,-499,-383
1509044729676499349,139221,1509044729676335930,,-509,-451,-499,-383
1509044729697539260,139222,1509044729697340161,,-509,-451,-499,-383
1509044729716944508,139223,1509044729716763428,,-509,-451,-499,-383
1509044729736973878,139224,1509044729736775688,,-509,-451,-499,-383
1509044729756941393,139225,1509044729756358644,,-509,-451,-499,-383
1509044729776611669,139226,1509044729776401822,,-509,-451,-499,-383
1509044729796928648,139227,1509044729796770769,,-509,-451,-499,-383
1509044729816469496,139228,1509044729816351795,,-509,-451,-499,-383
1509044729836538035,139229,1509044729836360789,,-509,-451,-499,-383
1509044729859098544,139230,1509044729856361060,,-509,-451,-499,-383
1509044729876538169,139231,1509044729876362941,,-509,-451,-499,-383
1509044729896553315,139232,1509044729896365064,,-509,-451,-499,-383
1509044729916573629,139233,1509044729916369176,,-509,-451,-499,-383
1509044729936738373,139234,1509044729936534347,,-509,-451,-499,-383
1509044729956579531,139235,1509044729956376351,,-509,-451,-499,-383
1509044729976545738,139236,1509044729976377099,,-509,-451,-499,-383
1509044729997049300,139237,1509044729996803662,,-509,-451,-499,-383
1509044730016541605,139238,1509044730016377692,,-509,-451,-499,-383
1509044730036609822,139239,1509044730036460143,,-509,-451,-499,-383
1509044730056514266,139240,1509044730056381183,,-509,-451,-499,-383
1509044730078641772,139241,1509044730076381916,,-509,-451,-499,-383
1509044730096632686,139242,1509044730096468158,,-509,-451,-499,-383
1509044730116669378,139243,1509044730116571117,,-509,-451,-499,-383
1509044730136640577,139244,1509044730136470160,,-509,-451,-499,-383
1509044730156999722,139245,1509044730156896834,,-509,-451,-499,-383
1509044730176665640,139246,1509044730176562483,,-509,-451,-499,-383
1509044730196584931,139247,1509044730196479689,,-509,-451,-499,-383
1509044730216628846,139248,1509044730216483456,,-509,-451,-499,-383
1509044730236745193,139249,1509044730236485484,,-509,-451,-499,-383
1509044730256637287,139250,1509044730256523819,,-509,-451,-499,-383
1509044730276561567,139251,1509044730276492380,,-509,-451,-499,-383
1509044730296602014,139252,1509044730296495066,,-509,-451,-499,-383
1509044730316671234,139253,1509044730316498930,,-509,-451,-499,-383
1509044730337965640,139254,1509044730336622670,,-509,-451,-499,-383
1509044730356603661,139255,1509044730356499921,,-509,-451,-499,-383
1509044730376653300,139256,1509044730376506076,,-509,-451,-499,-383
1509044730396633188,139257,1509044730396454384,,-509,-451,-499,-383
1509044730416873874,139258,1509044730416434441,,-509,-451,-499,-383
1509044730436548410,139259,1509044730436433375,,-509,-451,-499,-383
1509044730456546855,139260,1509044730456439447,,-509,-451,-499,-383
1509044730476607617,139261,1509044730476441842,,-509,-451,-499,-383
1509044730496546057,139262,1509044730496439932,,-509,-451,-499,-383
1509044730516604465,139263,1509044730516441029,,-509,-451,-499,-383
1509044730536690608,139264,1509044730536503194,,-509,-451,-499,-383
1509044730556518617,139265,1509044730556442901,,-509,-451,-499,-383
1509044730577074328,139266,1509044730576951215,,-509,-451,-499,-383
1509044730596593544,139267,1509044730596472394,,-509,-451,-499,-383
1509044730616585806,139268,1509044730616457457,,-509,-451,-499,-383
1509044730636593058,139269,1509044730636483675,,-509,-451,-499,-383
1509044730656639988,139270,1509044730656467134,,-509,-451,-499,-383
1509044730676590494,139271,1509044730676463865,,-509,-451,-499,-383
1509044730696608293,139272,1509044730696463206,,-509,-451,-499,-383
1509044730716604106,139273,1509044730716489858,,-509,-451,-499,-383
1509044730736586109,139274,1509044730736496007,,-509,-451,-499,-383
1509044730756654981,139275,1509044730756497404,,-509,-451,-499,-383
1509044730776781397,139276,1509044730776487533,,-509,-451,-499,-383
1509044730796859200,139277,1509044730796485132,,-509,-451,-499,-383
1509044730816589108,139278,1509044730816482349,,-509,-451,-499,-383
1509044730836811095,139279,1509044730836603723,,-509,-451,-499,-383
1509044730856697816,139280,1509044730856510558,,-509,-451,-499,-383
1509044730876574885,139281,1509044730876487587,,-509,-451,-499,-383
1509044730897190152,139282,1509044730896934075,,-509,-451,-499,-383
1509044730916796439,139283,1509044730916636708,,-509,-451,-499,-383
1509044730937109839,139284,1509044730936935881,,-509,-451,-499,-383
1509044730956686407,139285,1509044730956589512,,-509,-451,-499,-383
1509044730977333586,139286,1509044730977149732,,-509,-451,-499,-383
1509044730996698821,139287,1509044730996594899,,-509,-451,-499,-383
1509044731016672352,139288,1509044731016597421,,-509,-451,-499,-383
1509044731036721475,139289,1509044731036603578,,-509,-451,-499,-383
1509044731056660031,139290,1509044731056512552,,-509,-451,-499,-383
1509044731076779334,139291,1509044731076568662,,-509,-451,-499,-383
1509044731096652592,139292,1509044731096517960,,-509,-451,-499,-383
1509044731116716654,139293,1509044731116533169,,-509,-451,-499,-383
1509044731136684483,139294,1509044731136534609,,-509,-451,-499,-383
1509044731156749035,139295,1509044731156618604,,-509,-451,-499,-383
1509044731177110685,139296,1509044731176549229,,-509,-451,-499,-383
1509044731196608552,139297,1509044731196528919,,-509,-451,-499,-383
1509044731216690416,139298,1509044731216584580,,-509,-451,-499,-383
1509044731236769557,139299,1509044731236568441,,-509,-451,-499,-383
1509044731256838890,139300,1509044731256633937,,-509,-451,-499,-383
1509044731276713127,139301,1509044731276542949,,-509,-451,-499,-383
1509044731296750403,139302,1509044731296572769,,-509,-451,-499,-383
1509044731316716029,139303,1509044731316549323,,-509,-451,-499,-383
1509044731336705544,139304,1509044731336578321,,-509,-451,-499,-383
1509044731356686761,139305,1509044731356554686,,-509,-451,-499,-383
1509044731376809130,139306,1509044731376572673,,-509,-451,-499,-383
1509044731396777068,139307,1509044731396582247,,-509,-451,-499,-383
1509044731416731674,139308,1509044731416590133,,-509,-451,-499,-511
1509044731436750173,139309,1509044731436591998,,-509,-451,-499,-511
1509044731456772565,139310,1509044731456593905,,-509,-451,-499,-511
1509044731476699569,139311,1509044731476573379,,-509,-451,-499,-511
1509044731496733927,139312,1509044731496574041,,-509,-451,-499,-511
1509044731516680104,139313,1509044731516577219,,-509,-451,-499,-511
1509044731536670021,139314,1509044731536579402,,-509,-451,-499,-511
1509044731558664506,139315,1509044731556589778,,-509,-451,-499,-511
1509044731577292182,139316,1509044731576596222,,-509,-451,-499,-511
1509044731596790606,139317,1509044731596607899,,-509,-451,-499,-511
1509044731616765664,139318,1509044731616590363,,-509,-451,-499,-511
1509044731636763264,139319,1509044731636619794,,-509,-451,-499,-511
1509044731656813295,139320,1509044731656603154,,-509,-453,-499,385
1509044731676791389,139321,1509044731676601692,,-509,-453,-499,385
1509044731696735769,139322,1509044731696598373,,-509,-453,-499,385
1509044731716165003,139323,1509044731716026297,,-509,-453,-499,385
1509044731736319952,139324,1509044731736050695,,-509,-453,-499,385
1509044731756823453,139325,1509044731756627868,,-509,-453,-499,385
1509044731778007879,139326,1509044731776622860,,-509,-453,-499,385
1509044731796782221,139327,1509044731796614058,,-509,-453,-499,385
1509044731816799031,139328,1509044731816619484,,-509,-453,-499,385
1509044731836851894,139329,1509044731836620045,,-509,-453,-499,385
1509044731856725274,139330,1509044731856625404,,-509,-453,-499,385
1509044731876205505,139331,1509044731876041332,,-509,-453,-499,257
1509044731896763243,139332,1509044731896646498,,-509,-453,-499,257
1509044731916192026,139333,1509044731916050620,,-509,-453,-499,129
1509044731936192932,139334,1509044731936052252,,-509,-453,-497,129
1509044731956207732,139335,1509044731956055862,,-509,-453,-497,1
1509044731977729271,139336,1509044731976059497,,-509,-453,-497,-255
1509044731996168791,139337,1509044731996058370,,-509,-453,-497,-383
1509044732016173552,139338,1509044732016060299,,-509,-455,-497,385
1509044732036204915,139339,1509044732036092408,,-509,-455,-497,257
1509044732056149210,139340,1509044732056063378,,-509,-455,-497,1
1509044732076229068,139341,1509044732076095852,,-509,-455,-497,-255
1509044732096292353,139342,1509044732096109506,,-509,-455,-497,-511
1509044732116233994,139343,1509044732116104326,,-509,-457,-497,257
1509044732136230967,139344,1509044732136081067,,-509,-457,-497,1
1509044732156262820,139345,1509044732156109469,,-509,-457,-497,1
1509044732176300865,139346,1509044732176107634,,-509,-457,-497,-255
1509044732196196172,139347,1509044732196085370,,-509,-457,-497,-383
1509044732216869137,139348,1509044732216694657,,-509,-457,-497,-383
1509044732236839892,139349,1509044732236718293,,-509,-457,-497,-511
1509044732256822999,139350,1509044732256676576,,-509,-459,-497,385
1509044732276841485,139351,1509044732276674660,,-509,-459,-497,385
1509044732296251863,139352,1509044732296123810,,-509,-459,-497,385
1509044732316350886,139353,1509044732316183311,,-509,-459,-497,385
1509044732336346380,139354,1509044732336186228,,-509,-459,-497,385
1509044732356300293,139355,1509044732356187936,,-509,-459,-497,385
1509044732376445397,139356,1509044732376199674,,-509,-459,-497,385
1509044732396323472,139357,1509044732396196394,,-509,-457,-497,-511
1509044732416293306,139358,1509044732416197781,,-509,-457,-497,-511
1509044732436364600,139359,1509044732436228507,,-509,-457,-497,-511
1509044732456823596,139360,1509044732456714759,,-509,-457,-497,-511
1509044732476349428,139361,1509044732476228715,,-509,-457,-497,-511
1509044732496843613,139362,1509044732496705777,,-509,-457,-497,-511
1509044732516350066,139363,1509044732516159609,,-509,-457,-497,-511
1509044732536297720,139364,1509044732536129990,,-509,-457,-497,-511
1509044732556343909,139365,1509044732556144946,,-509,-457,-497,-511
1509044732578779492,139366,1509044732576730608,,-509,-457,-497,-511
1509044732596899601,139367,1509044732596807408,,-509,-457,-497,-511
1509044732616408260,139368,1509044732616168625,,-509,-457,-497,-511
1509044732636398057,139369,1509044732636172226,,-509,-457,-497,-511
1509044732656311867,139370,1509044732656173983,,-509,-457,-497,-511
1509044732676394986,139371,1509044732676157344,,-509,-457,-497,-383
1509044732696308235,139372,1509044732696174136,,-509,-457,-497,-383
1509044732716392254,139373,1509044732716203710,,-509,-457,-497,-383
1509044732736437625,139374,1509044732736158541,,-509,-457,-497,-383
1509044732756366309,139375,1509044732756215303,,-509,-457,-497,-383
1509044732776914970,139376,1509044732776179812,,-509,-457,-497,-255
1509044732796867728,139377,1509044732796745105,,-509,-457,-497,-127
1509044732816432958,139378,1509044732816216498,,-509,-457,-497,1
1509044732836389342,139379,1509044732836197768,,-509,-457,-497,129
1509044732856366237,139380,1509044732856197222,,-509,-457,-497,257
1509044732876312613,139381,1509044732876179762,,-509,-455,-497,-511
1509044732896943748,139382,1509044732896764154,,-509,-455,-497,-255
1509044732916383300,139383,1509044732916211050,,-509,-455,-497,-127
1509044732936331245,139384,1509044732936212300,,-509,-455,-497,257
1509044732956463774,139385,1509044732956235159,,-509,-455,-497,257
1509044732976661643,139386,1509044732976209000,,-509,-455,-497,385
1509044732996403520,139387,1509044732996202951,,-509,-453,-497,-255
1509044733016399542,139388,1509044733016241703,,-509,-453,-497,-255
1509044733036419326,139389,1509044733036198379,,-509,-453,-497,1
1509044733056495626,139390,1509044733056254641,,-509,-453,-497,1
1509044733076395191,139391,1509044733076229315,,-509,-453,-497,129
1509044733096450680,139392,1509044733096232339,,-509,-453,-497,385
1509044733116381480,139393,1509044733116233344,,-509,-453,-497,385
1509044733136351583,139394,1509044733136218479,,-509,-451,-497,-383
1509044733156410710,139395,1509044733156217071,,-509,-451,-497,-383
1509044733176756591,139396,1509044733176399708,,-509,-451,-497,-383
1509044733196352366,139397,1509044733196247926,,-509,-451,-497,-255
1509044733216378169,139398,1509044733216246655,,-509,-451,-497,-255
1509044733236447795,139399,1509044733236260750,,-509,-451,-497,-383
1509044733256394118,139400,1509044733256254084,,-509,-451,-497,-383
1509044733276464273,139401,1509044733276275480,,-509,-451,-497,-383
1509044733296455379,139402,1509044733296267998,,-509,-451,-497,-383
1509044733316431738,139403,1509044733316241280,,-509,-451,-497,-511
1509044733336495603,139404,1509044733336252451,,-509,-451,-497,-511
1509044733356422189,139405,1509044733356260322,,-509,-451,-497,-511
1509044733377327920,139406,1509044733376282855,,-509,-453,-497,385
1509044733396368209,139407,1509044733396247159,,-509,-453,-497,385
1509044733416690436,139408,1509044733416414785,,-509,-453,-497,257
1509044733436537245,139409,1509044733436372305,,-509,-453,-497,257
1509044733456677431,139410,1509044733456410142,,-509,-453,-497,257
1509044733476436981,139411,1509044733476268582,,-509,-453,-497,257
1509044733496513671,139412,1509044733496262085,,-509,-453,-497,129
1509044733516430706,139413,1509044733516264818,,-509,-453,-497,129
1509044733536373264,139414,1509044733536272231,,-509,-453,-497,1
1509044733556430949,139415,1509044733556298298,,-509,-453,-497,1
1509044733576509161,139416,1509044733576301848,,-509,-453,-497,1
1509044733596369352,139417,1509044733596272299,,-509,-453,-497,1
1509044733616346938,139418,1509044733616274257,,-509,-453,-497,1
1509044733636359839,139419,1509044733636279554,,-509,-453,-497,1
1509044733655945915,139420,1509044733655858853,,-509,-453,-497,-127
1509044733676121194,139421,1509044733675891983,,-509,-453,-497,-127
1509044733696466607,139422,1509044733696308175,,-509,-453,-497,-255
1509044733715985851,139423,1509044733715870979,,-509,-453,-497,-255
1509044733735969555,139424,1509044733735872149,,-509,-453,-497,-255
1509044733755951394,139425,1509044733755873255,,-509,-453,-497,-255
1509044733776711532,139426,1509044733775885277,,-509,-453,-497,-255
1509044733796536053,139427,1509044733796305784,,-509,-453,-497,-255
1509044733816401909,139428,1509044733816300773,,-509,-453,-497,-255
1509044733836117734,139429,1509044733835941816,,-509,-453,-497,-255
1509044733856124959,139430,1509044733855917401,,-509,-453,-497,-255
1509044733876057625,139431,1509044733875914874,,-509,-453,-497,-255
1509044733896057906,139432,1509044733895899460,,-509,-453,-497,-255
