%time,field.header.seq,field.header.stamp,field.header.frame_id,field.front_left,field.front_right,field.rear_left,field.rear_right
1509044729619981239,278397,1509044729619749863,,0.0,0.0,0.0,0.0
1509044729634230212,278398,1509044729631328106,,0.0,0.0,0.0,0.0
1509044729639972563,278399,1509044729639751654,,0.0,0.0,0.0,0.0
1509044729652384603,278400,1509044729651329194,,0.0,0.0,0.0,0.0
1509044729660678095,278401,1509044729660331841,,0.0,0.0,0.0,0.0
1509044729671502632,278402,1509044729671336311,,0.0,0.0,0.0,0.0
1509044729679927545,278403,1509044729679753431,,0.0,0.0,0.0,0.0
1509044729691482892,278404,1509044729691330853,,0.0,0.0,0.0,0.0
1509044729700182731,278405,1509044729699753907,,0.0,0.0,0.0,0.0
1509044729711531239,278406,1509044729711340972,,0.0,0.0,0.0,0.0
1509044729721469977,278407,1509044729719760425,,0.0,0.0,0.0,0.0
1509044729731591315,278408,1509044729731343566,,0.0,0.0,0.0,0.0
1509044729740027938,278409,1509044729739765188,,0.0,0.0,0.0,0.0
1509044729754258165,278410,1509044729751346303,,0.0,0.0,0.0,0.0
1509044729761342366,278411,1509044729760348429,,0.0,0.0,0.0,0.0
1509044729772163313,278412,1509044729771350060,,0.0,0.0,0.0,0.0
1509044729780626047,278413,1509044729779771680,,0.0,0.0,0.0,0.0
1509044729791517237,278414,1509044729791348330,,0.0,0.0,0.0,0.0
1509044729799912177,278415,1509044729799771268,,0.0,0.0,0.0,0.0
1509044729811569604,278416,1509044729811368655,,0.0,0.0,0.0,0.0
1509044729819965722,278417,1509044729819779522,,0.0,0.0,0.0,0.0
1509044729831610735,278418,1509044729831358968,,0.0,0.0,0.0,0.0
1509044729840077179,278419,1509044729839786499,,0.0,0.0,0.0,0.0
1509044729854051085,278420,1509044729851372436,,0.0,0.0,0.0,0.0
1509044729860092091,278421,1509044729859781923,,0.0,0.0,0.0,0.0
1509044729871645282,278422,1509044729871373696,,0.0,0.0,0.0,0.0
1509044729879948485,278423,1509044729879787890,,0.0,0.0,0.0,0.0
1509044729891612488,278424,1509044729891370906,,0.0,0.0,0.0,0.0
1509044729902460249,278425,1509044729899785719,,0.0,0.0,0.0,0.0
1509044729911661455,278426,1509044729911373447,,0.0,0.0,0.0,0.0
1509044729920560345,278427,1509044729920262775,,0.0,0.0,0.0,0.0
1509044729934623298,278428,1509044729933872359,,0.0,0.0,0.0,0.0
1509044729940532013,278429,1509044729940020545,,0.0,0.0,0.0,0.0
1509044729951671706,278430,1509044729951376141,,0.0,0.0,0.0,0.0
1509044729960681942,278431,1509044729960380881,,0.0,0.0,0.0,0.0
1509044729971581093,278432,1509044729971378478,,0.0,0.0,0.0,0.0
1509044729980114822,278433,1509044729979794923,,0.0,0.0,0.0,0.0
1509044729992658594,278434,1509044729991380530,,0.0,0.0,0.0,0.0
1509044730001476079,278435,1509044729999797318,,0.0,0.0,0.0,0.0
1509044730013794496,278436,1509044730012255463,,0.0,0.0,0.0,0.0
1509044730020312093,278437,1509044730020032488,,0.0,0.0,0.0,0.0
1509044730031602370,278438,1509044730031383484,,0.0,0.0,0.0,0.0
1509044730039987484,278439,1509044730039813250,,0.0,0.0,0.0,0.0
1509044730051606710,278440,1509044730051388626,,0.0,0.0,0.0,0.0
1509044730059986768,278441,1509044730059832555,,0.0,0.0,0.0,0.0
1509044730071567333,278442,1509044730071385561,,0.0,0.0,0.0,0.0
1509044730082354733,278443,1509044730082012632,,0.0,0.0,0.0,0.0
1509044730091578666,278444,1509044730091386622,,0.0,0.0,0.0,0.0
1509044730100350438,278445,1509044730099822667,,0.0,0.0,0.0,0.0
1509044730111539292,278446,1509044730111391201,,0.0,0.0,0.0,0.0
1509044730119932406,278447,1509044730119809192,,0.0,0.0,0.0,0.0
1509044730132874478,278448,1509044730131699697,,0.0,0.0,0.0,0.0
1509044730141183658,278449,1509044730140998469,,0.0,0.0,0.0,0.0
1509044730151511812,278450,1509044730151395171,,0.0,0.0,0.0,0.0
1509044730159917596,278451,1509044730159814443,,0.0,0.0,0.0,0.0
1509044730172827340,278452,1509044730171398883,,0.0,0.0,0.0,0.0
1509044730179911886,278453,1509044730179816562,,0.0,0.0,0.0,0.0
1509044730191583882,278454,1509044730191399460,,0.0,0.0,0.0,0.0
1509044730199929860,278455,1509044730199820846,,0.0,0.0,0.0,0.0
1509044730211571997,278456,1509044730211402777,,0.0,0.0,0.0,0.0
1509044730220104665,278457,1509044730219904360,,0.0,0.0,0.0,0.0
1509044730231601002,278458,1509044730231410467,,0.0,0.0,0.0,0.0
1509044730239928993,278459,1509044730239825518,,0.0,0.0,0.0,0.0
1509044730251561613,278460,1509044730251410386,,0.0,0.0,0.0,0.0
1509044730260522290,278461,1509044730260409538,,0.0,0.0,0.0,0.0
1509044730271528107,278462,1509044730271411842,,0.0,0.0,0.0,0.0
1509044730280001541,278463,1509044730279911904,,0.0,0.0,0.0,0.0
1509044730291615692,278464,1509044730291413455,,0.0,0.0,0.0,0.0
1509044730300398637,278465,1509044730299941188,,0.0,0.0,0.0,0.0
1509044730311657200,278466,1509044730311416696,,0.0,0.0,0.0,0.0
1509044730320136642,278467,1509044730319916417,,0.0,0.0,0.0,0.0
1509044730332587540,278468,1509044730332423456,,0.0,0.0,0.0,0.0
1509044730340118216,278469,1509044730339922623,,0.0,0.0,0.0,0.0
1509044730351656908,278470,1509044730351422778,,0.0,0.0,0.0,0.0
1509044730360519947,278471,1509044730360419874,,0.0,0.0,0.0,0.0
1509044730371644135,278472,1509044730371424989,,0.0,0.0,0.0,0.0
1509044730380122885,278473,1509044730379926365,,0.0,0.0,0.0,0.0
1509044730392712795,278474,1509044730392457586,,0.0,0.0,0.0,0.0
1509044730400188819,278475,1509044730399959391,,0.0,0.0,0.0,0.0
1509044730412046274,278476,1509044730411869608,,0.0,0.0,0.0,0.0
1509044730420019317,278477,1509044730419877443,,0.0,0.0,0.0,0.0
